,Sink,Source,Time Class,Time Delta,Transmission Type,Weight
795,A/northern pintail/Interior Alaska/9BM8502R0/2009,A/northern pintail/Interior Alaska/9BM8459R0/2009,Direct Transmission,0.0,Intra-Species,8.0
796,A/northern pintail/Interior Alaska/9BM10525R2/2009,A/northern pintail/Interior Alaska/9BM8459R0/2009,Direct Transmission,6.0,Intra-Species,8.0
797,A/northern pintail/Interior Alaska/9BM8448R0/2009,A/northern pintail/Interior Alaska/9BM8459R0/2009,Direct Transmission,0.0,Intra-Species,8.0
798,A/northern pintail/Interior Alaska/10BM00849R2/2010,A/northern pintail/Interior Alaska/9BM8459R0/2009,Environmental Persistence,286.0,Intra-Species,7.9979359999999975
799,A/blue-winged teal/Wisconsin/10OS2862/2010,A/mallard/Illinois/10OS2677/2010,Direct Transmission,0.0,Inter-Species,7.853366999999999
800,A/mallard/Nova Scotia/01017/2010,A/mallard/Ohio/10OS1354/2010,Environmental Persistence,45.0,Intra-Species,7.707708999999999
801,A/American wigeon/Missouri/10OS4752/2010,A/mallard/Ohio/10OS1354/2010,Environmental Persistence,128.0,Inter-Species,8.0
802,A/northern pintail/Interior Alaska/9BM7232R0/2009,A/northern pintail/Interior Alaska/9BM7632R0/2009,Direct Transmission,-2.0,Intra-Species,7.991254999999999
803,A/mallard/New Brunswick/00879/2010,A/American black duck/New Brunswick/00886/2010,Direct Transmission,-1.0,Inter-Species,7.979344
804,A/northern pintail/Interior Alaska/10BM06899R0/2010,A/mallard/Interior Alaska/10BM06911R0/2010,Direct Transmission,0.0,Inter-Species,8.0
805,A/northern pintail/Interior Alaska/10BM07114R0/2010,A/mallard/Interior Alaska/10BM06911R0/2010,Direct Transmission,1.0,Inter-Species,8.0
806,A/mallard/Interior Alaska/10BM07092R0/2010,A/mallard/Interior Alaska/10BM06911R0/2010,Direct Transmission,1.0,Intra-Species,8.0
807,A/mallard/Interior Alaska/10BM06909R0/2010,A/mallard/Interior Alaska/10BM06911R0/2010,Direct Transmission,0.0,Intra-Species,7.9982349999999975
808,A/northern pintail/Interior Alaska/10BM07106R0/2010,A/mallard/Interior Alaska/10BM06911R0/2010,Direct Transmission,1.0,Inter-Species,7.998714
809,A/mallard/Interior Alaska/10BM08100R0/2010,A/mallard/Interior Alaska/10BM06911R0/2010,Direct Transmission,4.0,Intra-Species,7.9977839999999984
810,A/mallard/Interior Alaska/10BM06905R0/2010,A/mallard/Interior Alaska/10BM06911R0/2010,Direct Transmission,0.0,Intra-Species,8.0
811,A/mallard/Interior Alaska/10BM07085R0/2010,A/mallard/Interior Alaska/10BM06911R0/2010,Direct Transmission,1.0,Intra-Species,7.999414
812,A/mallard/Interior Alaska/10BM07501R0/2010,A/mallard/Interior Alaska/10BM06911R0/2010,Direct Transmission,2.0,Intra-Species,8.0
813,A/northern pintail/Interior Alaska/10BM06524R0/2010,A/mallard/Interior Alaska/10BM06911R0/2010,Direct Transmission,-1.0,Inter-Species,8.0
814,A/northern pintail/Interior Alaska/10BM06895R0/2010,A/mallard/Interior Alaska/10BM06911R0/2010,Direct Transmission,0.0,Inter-Species,7.9991330000000005
815,A/ruddy turnstone/New Jersey/AI09-620/2009,A/ruddy turnstone/New Jersey/AI09-027/2009,Direct Transmission,9.0,Intra-Species,7.985358
816,A/mallard/Interior Alaska/9BM9984R0/2009,A/mallard/Interior Alaska/9BM9983R0/2009,Direct Transmission,0.0,Intra-Species,7.998528999999999
817,A/mallard/Interior Alaska/9BM9985R0/2009,A/mallard/Interior Alaska/9BM9983R0/2009,Direct Transmission,0.0,Intra-Species,8.0
818,A/mallard/Interior Alaska/9BM2241R1/2009,A/mallard/Interior Alaska/9BM2250R0/2009,Direct Transmission,0.0,Intra-Species,8.0
819,A/mallard/Interior Alaska/10BM12311R0/2010,A/mallard/Interior Alaska/10BM12178R0/2010,Direct Transmission,1.0,Intra-Species,7.999547
820,A/mallard/Interior Alaska/10BM12179R0/2010,A/mallard/Interior Alaska/10BM12178R0/2010,Direct Transmission,0.0,Intra-Species,8.0
821,A/mallard/Interior Alaska/10BM11416R0/2010,A/mallard/Interior Alaska/10BM12178R0/2010,Direct Transmission,-1.0,Intra-Species,7.998864
822,A/northern shoveler/Interior Alaska/10BM16764R0/2010,A/northern pintail/Interior Alaska/10BM14807R2/2010,Environmental Persistence,21.0,Inter-Species,7.994153999999999
823,A/American black duck/New Brunswick/00344/2010,A/mallard/Nova Scotia/00372/2010,Direct Transmission,0.0,Inter-Species,7.9977839999999984
824,A/American black duck/Prince Edward Island/00673/2010,A/American black duck/New Brunswick/00687/2010,Direct Transmission,-5.0,Intra-Species,7.999567999999999
825,A/mallard/Interior Alaska/10BM06835R0/2010,A/mallard/Interior Alaska/10BM06828R0/2010,Direct Transmission,0.0,Intra-Species,7.999567999999999
826,A/mallard/Interior Alaska/10BM05797R0/2010,A/mallard/Interior Alaska/10BM06828R0/2010,Direct Transmission,-5.0,Intra-Species,7.989933999999999
827,A/northern pintail/Interior Alaska/9BM12186R0/2009,A/mallard/Interior Alaska/9BM12204R0/2009,Direct Transmission,0.0,Inter-Species,8.0
828,A/mallard/Interior Alaska/9BM12198R0/2009,A/mallard/Interior Alaska/9BM12204R0/2009,Direct Transmission,0.0,Intra-Species,8.0
829,A/northern pintail/Interior Alaska/9BM12190R0/2009,A/mallard/Interior Alaska/9BM12204R0/2009,Direct Transmission,0.0,Inter-Species,8.0
830,A/blue-winged teal/New Brunswick/00770/2010,A/blue-winged teal/New Brunswick/00769/2010,Direct Transmission,0.0,Intra-Species,7.992996999999999
831,A/blue-winged teal/New Brunswick/00772/2010,A/blue-winged teal/New Brunswick/00769/2010,Direct Transmission,0.0,Intra-Species,7.997818
832,A/blue-winged teal/New Brunswick/00765/2010,A/blue-winged teal/New Brunswick/00769/2010,Direct Transmission,0.0,Intra-Species,7.997338
833,A/shorebird/Delaware Bay/342/2009,A/shorebird/Delaware Bay/340/2009,Direct Transmission,0.0,Intra-Species,8.0
834,A/shorebird/Delaware Bay/338/2009,A/shorebird/Delaware Bay/340/2009,Direct Transmission,0.0,Intra-Species,7.999300999999999
835,A/northern pintail/Interior Alaska/9BM11917R0/2009,A/northern shoveler/Interior Alaska/9BM4787R0/2009,Environmental Persistence,21.0,Inter-Species,7.990690999999999
836,A/northern pintail/Interior Alaska/9BM7240R0/2009,A/northern shoveler/Interior Alaska/9BM4787R0/2009,Direct Transmission,8.0,Inter-Species,7.985313999999999
837,A/shorebird/Delaware Bay/322/2009,A/ruddy turnstone/New Jersey/AI09-305/2009,Direct Transmission,9.0,Inter-Species,7.993592
838,A/shorebird/Delaware Bay/756/2009,A/ruddy turnstone/New Jersey/AI09-305/2009,Environmental Persistence,24.0,Inter-Species,7.996422999999999
839,A/ruddy turnstone/New Jersey/AI09-342/2009,A/ruddy turnstone/New Jersey/AI09-305/2009,Direct Transmission,9.0,Intra-Species,7.9857429999999985
840,A/shorebird/Delaware Bay/139/2009,A/ruddy turnstone/New Jersey/AI09-305/2009,Direct Transmission,9.0,Inter-Species,7.9960049999999985
841,A/shorebird/Delaware Bay/281/2009,A/ruddy turnstone/New Jersey/AI09-305/2009,Direct Transmission,9.0,Inter-Species,7.996701
842,A/ruddy turnstone/New Jersey/AI09-1033/2009,A/ruddy turnstone/New Jersey/AI09-305/2009,Environmental Persistence,19.0,Intra-Species,7.9690980000000025
843,A/shorebird/Delaware Bay/343/2009,A/ruddy turnstone/New Jersey/AI09-305/2009,Direct Transmission,9.0,Inter-Species,7.996529
844,A/shorebird/Delaware Bay/271/2009,A/ruddy turnstone/New Jersey/AI09-305/2009,Direct Transmission,9.0,Inter-Species,7.9796179999999985
845,A/shorebird/Delaware Bay/107/2009,A/ruddy turnstone/New Jersey/AI09-305/2009,Direct Transmission,9.0,Inter-Species,7.997242999999999
846,A/shorebird/Delaware Bay/240/2009,A/ruddy turnstone/New Jersey/AI09-305/2009,Direct Transmission,9.0,Inter-Species,7.995316000000001
847,A/shorebird/Delaware Bay/255/2009,A/ruddy turnstone/New Jersey/AI09-305/2009,Direct Transmission,9.0,Inter-Species,7.9971010000000025
848,A/shorebird/Delaware Bay/512/2009,A/ruddy turnstone/New Jersey/AI09-305/2009,Direct Transmission,10.0,Inter-Species,7.998135
849,A/shorebird/Delaware Bay/300/2009,A/shorebird/Delaware Bay/324/2009,Direct Transmission,0.0,Intra-Species,7.998388999999999
850,A/mallard/California/3569/2010,A/northern pintail/California/3466/2010,Direct Transmission,10.0,Inter-Species,7.963135
851,A/northern pintail/Interior Alaska/9BM12190R0/2009,A/northern pintail/Interior Alaska/9BM12186R0/2009,Direct Transmission,0.0,Intra-Species,8.0
852,A/mallard/Interior Alaska/9BM12204R0/2009,A/northern pintail/Interior Alaska/9BM12186R0/2009,Direct Transmission,0.0,Inter-Species,8.0
853,A/mallard/Interior Alaska/9BM12198R0/2009,A/northern pintail/Interior Alaska/9BM12186R0/2009,Direct Transmission,0.0,Inter-Species,8.0
854,A/mallard/Interior Alaska/10BM09896R0/2010,A/mallard/Interior Alaska/10BM09893R0/2010,Direct Transmission,0.0,Intra-Species,7.998201
855,A/American green-winged teal/Interior Alaska/9BM6428R0/2009,A/northern pintail/Interior Alaska/9BM6205R0/2009,Direct Transmission,1.0,Inter-Species,7.998917
856,A/mallard/Interior Alaska/9BM8287R0/2009,A/northern pintail/Interior Alaska/9BM6205R0/2009,Direct Transmission,7.0,Inter-Species,7.998032000000001
857,A/mallard/Interior Alaska/9BM10043R0/2009,A/northern pintail/Interior Alaska/9BM6205R0/2009,Direct Transmission,13.0,Inter-Species,7.998096
858,A/mallard/Interior Alaska/9BM2250R0/2009,A/mallard/Interior Alaska/9BM2241R1/2009,Direct Transmission,0.0,Intra-Species,8.0
859,A/blue-winged teal/New Brunswick/00597/2010,A/blue-winged teal/New Brunswick/00595/2010,Direct Transmission,0.0,Intra-Species,7.994965
860,A/mallard/New Brunswick/00593/2010,A/blue-winged teal/New Brunswick/00595/2010,Direct Transmission,0.0,Inter-Species,7.995389
861,A/blue-winged teal/New Brunswick/00600/2010,A/blue-winged teal/New Brunswick/00595/2010,Direct Transmission,0.0,Intra-Species,7.995769
862,A/northern pintail/Interior Alaska/9BM9663R0/2009,A/northern pintail/Interior Alaska/9BM4583R0/2009,Environmental Persistence,16.0,Intra-Species,7.989619999999999
863,A/mallard/Interior Alaska/10BM11414R0/2010,A/northern pintail/Interior Alaska/10BM08489R0/2010,Direct Transmission,8.0,Inter-Species,7.996035000000001
864,A/northern pintail/Interior Alaska/10BM06704R0/2010,A/northern pintail/Interior Alaska/10BM08489R0/2010,Direct Transmission,-5.0,Intra-Species,7.7286600000000005
865,A/mallard/Interior Alaska/10BM11415R0/2010,A/northern pintail/Interior Alaska/10BM08489R0/2010,Direct Transmission,8.0,Inter-Species,7.994575
866,A/northern pintail/Interior Alaska/10BM11672R0/2010,A/northern pintail/Interior Alaska/10BM08489R0/2010,Direct Transmission,9.0,Intra-Species,7.990596000000001
867,A/mallard/Interior Alaska/10BM12351R0/2010,A/northern pintail/Interior Alaska/10BM08489R0/2010,Direct Transmission,10.0,Inter-Species,7.996974000000002
868,A/mallard/Interior Alaska/10BM11420R0/2010,A/northern pintail/Interior Alaska/10BM08489R0/2010,Direct Transmission,8.0,Inter-Species,7.996035000000001
869,A/American green-winged teal/Interior Alaska/10BM07649R0/2010,A/northern pintail/Interior Alaska/10BM08489R0/2010,Direct Transmission,-2.0,Inter-Species,7.994182
870,A/northern pintail/Interior Alaska/10BM08505R0/2010,A/northern pintail/Interior Alaska/10BM08489R0/2010,Direct Transmission,0.0,Intra-Species,7.998993
871,A/mallard/Interior Alaska/10BM12352R0/2010,A/northern pintail/Interior Alaska/10BM08489R0/2010,Direct Transmission,10.0,Inter-Species,7.996899000000001
872,A/mallard/Interior Alaska/10BM11418R0/2010,A/northern pintail/Interior Alaska/10BM08489R0/2010,Direct Transmission,8.0,Inter-Species,7.995171000000001
873,A/mallard/Interior Alaska/10BM12383R0/2010,A/northern pintail/Interior Alaska/10BM08489R0/2010,Direct Transmission,10.0,Inter-Species,7.996391
874,A/northern pintail/Interior Alaska/10BM08488R0/2010,A/northern pintail/Interior Alaska/10BM08489R0/2010,Direct Transmission,0.0,Intra-Species,8.0
875,A/mallard/Interior Alaska/10BM11416R0/2010,A/northern pintail/Interior Alaska/10BM08489R0/2010,Direct Transmission,8.0,Inter-Species,7.995331
876,A/mallard/Interior Alaska/10BM12350R0/2010,A/northern pintail/Interior Alaska/10BM08489R0/2010,Direct Transmission,10.0,Inter-Species,7.997547999999999
877,A/northern pintail/Interior Alaska/10BM06872R0/2010,A/northern pintail/Interior Alaska/10BM08489R0/2010,Direct Transmission,-4.0,Intra-Species,7.9937960000000015
878,A/American green-winged teal/Interior Alaska/10BM08134R0/2010,A/northern pintail/Interior Alaska/10BM08489R0/2010,Direct Transmission,0.0,Inter-Species,7.9951050000000015
879,A/mallard/Interior Alaska/10BM12363R0/2010,A/northern pintail/Interior Alaska/10BM08489R0/2010,Direct Transmission,10.0,Inter-Species,7.9975429999999985
880,A/mallard/Interior Alaska/10BM12370R0/2010,A/northern pintail/Interior Alaska/10BM08489R0/2010,Direct Transmission,10.0,Inter-Species,7.997547999999999
881,A/northern pintail/Interior Alaska/10BM08493R0/2010,A/northern pintail/Interior Alaska/10BM08489R0/2010,Direct Transmission,0.0,Intra-Species,7.999567999999999
882,A/mallard/Interior Alaska/10BM12374R0/2010,A/northern pintail/Interior Alaska/10BM08489R0/2010,Direct Transmission,10.0,Inter-Species,7.997547999999999
883,A/mallard/Interior Alaska/10BM11419R0/2010,A/northern pintail/Interior Alaska/10BM08489R0/2010,Direct Transmission,8.0,Inter-Species,7.994719
884,A/northern pintail/Interior Alaska/9BM6165R0/2009,A/northern pintail/Interior Alaska/9BM5376R0/2009,Direct Transmission,3.0,Intra-Species,7.998966
885,A/northern pintail/Interior Alaska/9BM5941R0/2009,A/northern pintail/Interior Alaska/9BM5376R0/2009,Direct Transmission,2.0,Intra-Species,7.9993490000000005
886,A/northern pintail/Interior Alaska/9BM4646R0/2009,A/northern pintail/Interior Alaska/9BM5376R0/2009,Direct Transmission,-1.0,Intra-Species,7.998540999999999
887,A/northern pintail/Interior Alaska/9BM4666R0/2009,A/northern pintail/Interior Alaska/9BM5376R0/2009,Direct Transmission,-1.0,Intra-Species,7.999567999999999
888,A/northern pintail/Interior Alaska/9BM5554R0/2009,A/northern pintail/Interior Alaska/9BM5376R0/2009,Direct Transmission,1.0,Intra-Species,7.9989789999999985
889,A/ruddy turnstone/New Jersey/AI09-169/2009,A/ruddy turnstone/New Jersey/AI09-194/2009,Direct Transmission,-5.0,Intra-Species,7.975686
890,A/mallard/Interior Alaska/9BM11542R0/2009,A/mallard/Interior Alaska/9BM10051R0/2009,Direct Transmission,4.0,Intra-Species,7.999115
891,A/northern pintail/Interior Alaska/10BM11989R0/2010,A/northern pintail/Interior Alaska/10BM11694R0/2010,Direct Transmission,0.0,Intra-Species,7.9954810000000025
892,A/mallard/Wisconsin/2756/2009,A/mallard/Wisconsin/2755/2009,Direct Transmission,0.0,Intra-Species,7.997937999999999
893,A/ruddy turnstone/New Jersey/AI09-342/2009,A/ruddy turnstone/New Jersey/AI09-554/2009,Direct Transmission,-6.0,Intra-Species,7.9979580000000015
894,A/shorebird/Delaware Bay/545/2009,A/ruddy turnstone/New Jersey/AI09-554/2009,Direct Transmission,-5.0,Inter-Species,7.996465
895,A/American green-winged teal/Minnesota/AI09-3589/2009,A/blue-winged Teal/North Dakota/AI09-2912/2009,Direct Transmission,10.0,Inter-Species,7.6764100000000015
896,A/turkey/MB/FAV10/2010,A/turkey/MB/FAV11/2010,Direct Transmission,1.0,Intra-Species,7.995651
897,A/mallard/Illinois/10OS3786/2010,A/mallard/Illinois/10OS4111/2010,Direct Transmission,-1.0,Intra-Species,7.9179080000000015
898,A/northern pintail/Interior Alaska/9BM11151R0/2009,A/mallard/Interior Alaska/9BM11351R0/2009,Direct Transmission,0.0,Inter-Species,8.0
899,A/mallard/Interior Alaska/9BM9717R0/2009,A/mallard/Interior Alaska/9BM9201R0/2009,Direct Transmission,2.0,Intra-Species,7.998849000000001
900,A/northern pintail/Interior Alaska/9BM11779R0/2009,A/mallard/Interior Alaska/9BM9201R0/2009,Direct Transmission,7.0,Inter-Species,7.998660000000001
901,A/gadwall/Mississippi/10OS4531/2010,A/northern shoveler/Mississippi/10OS4526/2010,Direct Transmission,1.0,Inter-Species,7.991123
902,A/blue-winged teal/Guatemala/CIP049-10/2009,A/blue-winged teal/Guatemala/CIP049-11/2009,Direct Transmission,0.0,Intra-Species,7.994198
903,A/American black duck/New Brunswick/00523/2010,A/American black duck/New Brunswick/00468/2010,Direct Transmission,1.0,Intra-Species,7.998074000000001
904,A/American black duck/New Brunswick/00470/2010,A/American black duck/New Brunswick/00468/2010,Direct Transmission,0.0,Intra-Species,7.995578
905,A/American black duck/New Brunswick/00478/2010,A/American black duck/New Brunswick/00468/2010,Direct Transmission,0.0,Intra-Species,7.996189999999999
906,A/American black duck/New Brunswick/00464/2010,A/American black duck/New Brunswick/00468/2010,Direct Transmission,0.0,Intra-Species,7.992878000000001
907,A/American black duck/New Brunswick/00469/2010,A/American black duck/New Brunswick/00468/2010,Direct Transmission,0.0,Intra-Species,7.996128
908,A/American black duck/New Brunswick/00481/2010,A/American black duck/New Brunswick/00468/2010,Direct Transmission,0.0,Intra-Species,7.9975710000000015
909,A/American black duck/New Brunswick/00472/2010,A/American black duck/New Brunswick/00468/2010,Direct Transmission,0.0,Intra-Species,7.998528999999999
910,A/American black duck/New Brunswick/00499/2010,A/American black duck/New Brunswick/00468/2010,Direct Transmission,0.0,Intra-Species,7.996644999999999
911,A/American black duck/New Brunswick/00587/2010,A/American black duck/New Brunswick/00468/2010,Direct Transmission,3.0,Intra-Species,7.99861
912,A/northern pintail/Interior Alaska/10BM12221R0/2010,A/mallard/Interior Alaska/10BM12308R0/2010,Direct Transmission,-1.0,Inter-Species,7.973984
913,A/American black duck/New Brunswick/00909/2010,A/mallard-black duck hybrid/New Brunswick/00904/2010,Direct Transmission,0.0,Inter-Species,8.0
914,A/American black duck/New Brunswick/00906/2010,A/mallard-black duck hybrid/New Brunswick/00904/2010,Direct Transmission,0.0,Inter-Species,8.0
915,A/American black duck/New Brunswick/00617/2010,A/mallard/Wisconsin/2712/2009,Environmental Persistence,309.0,Inter-Species,7.656613
916,A/blue-winged teal/Nova Scotia/00076/2010,A/blue-winged teal/Nova Scotia/00072/2010,Direct Transmission,0.0,Intra-Species,8.0
917,A/blue-winged teal/Nova Scotia/00081/2010,A/blue-winged teal/Nova Scotia/00072/2010,Direct Transmission,0.0,Intra-Species,8.0
918,A/blue-winged teal/Nova Scotia/00077/2010,A/blue-winged teal/Nova Scotia/00072/2010,Direct Transmission,0.0,Intra-Species,8.0
919,A/blue-winged teal/Nova Scotia/00073/2010,A/blue-winged teal/Nova Scotia/00072/2010,Direct Transmission,0.0,Intra-Species,8.0
920,A/blue-winged teal/Nova Scotia/00074/2010,A/blue-winged teal/Nova Scotia/00072/2010,Direct Transmission,0.0,Intra-Species,8.0
921,A/blue-winged teal/Nova Scotia/00080/2010,A/blue-winged teal/Nova Scotia/00072/2010,Direct Transmission,0.0,Intra-Species,8.0
922,A/blue-winged teal/Nova Scotia/00075/2010,A/blue-winged teal/Nova Scotia/00072/2010,Direct Transmission,0.0,Intra-Species,8.0
923,A/blue-winged teal/Nova Scotia/00079/2010,A/blue-winged teal/Nova Scotia/00072/2010,Direct Transmission,0.0,Intra-Species,7.999567999999999
924,A/blue-winged teal/Nova Scotia/00078/2010,A/blue-winged teal/Nova Scotia/00072/2010,Direct Transmission,0.0,Intra-Species,8.0
925,A/northern pintail/Interior Alaska/9BM10287R0/2009,A/northern pintail/Interior Alaska/9BM11783R0/2009,Direct Transmission,-3.0,Intra-Species,7.998075
926,A/northern pintail/Interior Alaska/9BM11317R0/2009,A/northern pintail/Interior Alaska/9BM11783R0/2009,Direct Transmission,-1.0,Intra-Species,8.0
927,A/northern pintail/Interior Alaska/10BM06899R0/2010,A/mallard/Interior Alaska/10BM06905R0/2010,Direct Transmission,0.0,Inter-Species,8.0
928,A/northern pintail/Interior Alaska/10BM07114R0/2010,A/mallard/Interior Alaska/10BM06905R0/2010,Direct Transmission,1.0,Inter-Species,8.0
929,A/mallard/Interior Alaska/10BM07092R0/2010,A/mallard/Interior Alaska/10BM06905R0/2010,Direct Transmission,1.0,Intra-Species,8.0
930,A/mallard/Interior Alaska/10BM06909R0/2010,A/mallard/Interior Alaska/10BM06905R0/2010,Direct Transmission,0.0,Intra-Species,7.9982349999999975
931,A/northern pintail/Interior Alaska/10BM07106R0/2010,A/mallard/Interior Alaska/10BM06905R0/2010,Direct Transmission,1.0,Inter-Species,7.998714
932,A/mallard/Interior Alaska/10BM08100R0/2010,A/mallard/Interior Alaska/10BM06905R0/2010,Direct Transmission,4.0,Intra-Species,7.9977839999999984
933,A/mallard/Interior Alaska/10BM07085R0/2010,A/mallard/Interior Alaska/10BM06905R0/2010,Direct Transmission,1.0,Intra-Species,7.999414
934,A/mallard/Interior Alaska/10BM07501R0/2010,A/mallard/Interior Alaska/10BM06905R0/2010,Direct Transmission,2.0,Intra-Species,8.0
935,A/mallard/Interior Alaska/10BM06911R0/2010,A/mallard/Interior Alaska/10BM06905R0/2010,Direct Transmission,0.0,Intra-Species,8.0
936,A/northern pintail/Interior Alaska/10BM06524R0/2010,A/mallard/Interior Alaska/10BM06905R0/2010,Direct Transmission,-1.0,Inter-Species,8.0
937,A/northern pintail/Interior Alaska/10BM06895R0/2010,A/mallard/Interior Alaska/10BM06905R0/2010,Direct Transmission,0.0,Inter-Species,7.9991330000000005
938,A/northern pintail/Interior Alaska/10BM08705R0/2010,A/mallard/Interior Alaska/10BM06905R0/2010,Direct Transmission,5.0,Inter-Species,7.995617
939,A/American black duck/Nova Scotia/00089/2010,A/blue-winged teal/Nova Scotia/00126/2010,Direct Transmission,0.0,Inter-Species,8.0
940,A/mallard/Nova Scotia/01016/2010,A/green-winged teal/New Brunswick/00335/2010,Environmental Persistence,43.0,Inter-Species,7.965047
941,A/blue-winged teal/Nova Scotia/01002/2010,A/green-winged teal/New Brunswick/00335/2010,Environmental Persistence,43.0,Inter-Species,7.717283
942,A/mallard/New Brunswick/00341/2010,A/green-winged teal/New Brunswick/00335/2010,Direct Transmission,0.0,Inter-Species,7.981415000000001
943,A/shorebird/Delaware Bay/380/2010,A/Canada goose/Delaware Bay/34/2010,Direct Transmission,1.0,Inter-Species,7.997286
944,A/mallard/Minnesota/AI09-1678/2009,A/mallard/Minnesota/AI09-1684/2009,Direct Transmission,0.0,Intra-Species,7.99887
945,A/northern pintail/Interior Alaska/9BM7696R0/2009,A/American green-winged teal/Interior Alaska/9BM6225R0/2009,Direct Transmission,5.0,Inter-Species,8.0
946,A/northern pintail/Interior Alaska/9BM9005R0/2009,A/American green-winged teal/Interior Alaska/9BM6225R0/2009,Direct Transmission,8.0,Inter-Species,7.995710000000001
947,A/northern pintail/Interior Alaska/9BM5376R0/2009,A/American green-winged teal/Interior Alaska/9BM6225R0/2009,Direct Transmission,-4.0,Inter-Species,7.999567999999999
948,A/American green-winged teal/Interior Alaska/9BM6222R0/2009,A/American green-winged teal/Interior Alaska/9BM6225R0/2009,Direct Transmission,0.0,Intra-Species,8.0
949,A/American green-winged teal/Interior Alaska/9BM6223R0/2009,A/American green-winged teal/Interior Alaska/9BM6225R0/2009,Direct Transmission,0.0,Intra-Species,8.0
950,A/northern pintail/Interior Alaska/9BM8084R0/2009,A/American green-winged teal/Interior Alaska/9BM6225R0/2009,Direct Transmission,6.0,Inter-Species,7.9980030000000015
951,A/mallard/Interior Alaska/9BM9984R0/2009,A/mallard/Interior Alaska/9BM9985R0/2009,Direct Transmission,0.0,Intra-Species,7.998528999999999
952,A/mallard/Interior Alaska/9BM9983R0/2009,A/mallard/Interior Alaska/9BM9985R0/2009,Direct Transmission,0.0,Intra-Species,8.0
953,A/mallard/Interior Alaska/10BM05900R0/2010,A/ring-necked duck/Interior Alaska/10BM05792R0/2010,Direct Transmission,0.0,Inter-Species,7.999134
954,A/northern shoveler/Interior Alaska/10BM05638R0/2010,A/ring-necked duck/Interior Alaska/10BM05792R0/2010,Direct Transmission,0.0,Inter-Species,7.995888000000001
955,A/northern shoveler/Interior Alaska/10BM05649R0/2010,A/ring-necked duck/Interior Alaska/10BM05792R0/2010,Direct Transmission,0.0,Inter-Species,8.0
956,A/northern pintail/Interior Alaska/10BM06899R0/2010,A/mallard/Interior Alaska/10BM07092R0/2010,Direct Transmission,-1.0,Inter-Species,8.0
957,A/northern pintail/Interior Alaska/10BM07114R0/2010,A/mallard/Interior Alaska/10BM07092R0/2010,Direct Transmission,0.0,Inter-Species,8.0
958,A/mallard/Interior Alaska/10BM06909R0/2010,A/mallard/Interior Alaska/10BM07092R0/2010,Direct Transmission,-1.0,Intra-Species,7.9982349999999975
959,A/northern pintail/Interior Alaska/10BM07106R0/2010,A/mallard/Interior Alaska/10BM07092R0/2010,Direct Transmission,0.0,Inter-Species,7.998714
960,A/mallard/Interior Alaska/10BM08100R0/2010,A/mallard/Interior Alaska/10BM07092R0/2010,Direct Transmission,3.0,Intra-Species,7.9977839999999984
961,A/mallard/Interior Alaska/10BM06905R0/2010,A/mallard/Interior Alaska/10BM07092R0/2010,Direct Transmission,-1.0,Intra-Species,8.0
962,A/mallard/Interior Alaska/10BM07085R0/2010,A/mallard/Interior Alaska/10BM07092R0/2010,Direct Transmission,0.0,Intra-Species,7.999414
963,A/mallard/Interior Alaska/10BM07501R0/2010,A/mallard/Interior Alaska/10BM07092R0/2010,Direct Transmission,1.0,Intra-Species,8.0
964,A/mallard/Interior Alaska/10BM06911R0/2010,A/mallard/Interior Alaska/10BM07092R0/2010,Direct Transmission,-1.0,Intra-Species,8.0
965,A/northern pintail/Interior Alaska/10BM06524R0/2010,A/mallard/Interior Alaska/10BM07092R0/2010,Direct Transmission,-2.0,Inter-Species,8.0
966,A/northern pintail/Interior Alaska/10BM06895R0/2010,A/mallard/Interior Alaska/10BM07092R0/2010,Direct Transmission,-1.0,Inter-Species,7.9991330000000005
967,A/green-winged teal/Nova Scotia/00354/2010,A/blue-winged teal/Guatemala/CIP049-05/2010,Environmental Persistence,189.0,Inter-Species,7.615873
968,A/green-winged teal/Prince Edward Island/00841/2010,A/green-winged teal/Prince Edward Island/00839/2010,Direct Transmission,0.0,Intra-Species,8.0
969,A/green-winged teal/Prince Edward Island/00840/2010,A/green-winged teal/Prince Edward Island/00839/2010,Direct Transmission,0.0,Intra-Species,8.0
970,A/green-winged teal/Prince Edward Island/00838/2010,A/green-winged teal/Prince Edward Island/00839/2010,Direct Transmission,0.0,Intra-Species,8.0
971,A/mallard-black duck hybrid/New Brunswick/03736/2009,A/hooded merganser/New Brunswick/03750/2009,Direct Transmission,0.0,Inter-Species,7.986638
972,A/blue-winged teal/Nova Scotia/00126/2010,A/American black duck/Nova Scotia/00089/2010,Direct Transmission,0.0,Inter-Species,8.0
973,A/mallard/Interior Alaska/10BM09818R0/2010,A/northern pintail/Interior Alaska/10BM10166R0/2010,Direct Transmission,-1.0,Inter-Species,7.999414
974,A/northern pintail/Interior Alaska/9BM7069R0/2009,A/northern pintail/Interior Alaska/9BM7055R0/2009,Direct Transmission,0.0,Intra-Species,7.998411999999999
975,A/northern pintail/Interior Alaska/9BM7108R2/2009,A/northern pintail/Interior Alaska/9BM7055R0/2009,Direct Transmission,0.0,Intra-Species,7.999567
976,A/northern pintail/Interior Alaska/9BM6290R0/2009,A/northern pintail/Interior Alaska/9BM7055R0/2009,Direct Transmission,-3.0,Intra-Species,7.985372
