Strain Name,Sequence Accession,Sequence Accession2,Sequence Accession3,Sequence Accession4,Sequence Accession5,Sequence Accession6,Sequence Accession7,Sequence Accession8,State/Province,Country,Host Species,Collection Date,Subtype,Complete Genome
A/mallard/Interior Alaska/9BM1869/2009,CY078754,CY078753,CY078752,CY078747,CY078750,CY078749,CY078748,CY078751,Alaska,USA,IRD:Mallard/Avian,7/1/2009,H4N6,Yes
A/mallard/Interior Alaska/9BM1947/2009,CY078762,CY078761,CY078760,CY078755,CY078758,CY078757,CY078756,CY078759,Alaska,USA,IRD:Mallard/Avian,7/4/2009,H4N6,Yes
A/mallard/Interior Alaska/9BM1949/2009,CY078770,CY078769,CY078768,CY078763,CY078766,CY078765,CY078764,CY078767,Alaska,USA,IRD:Mallard/Avian,7/4/2009,H4N6,Yes
A/mallard/Interior Alaska/9BM1957/2009,CY079597,CY079596,CY079595,CY079590,CY079593,CY079592,CY079591,CY079594,Alaska,USA,IRD:Mallard/Avian,7/4/2009,H4N6,Yes
A/mallard/Interior Alaska/9BM1958/2009,CY078778,CY078777,CY078776,CY078771,CY078774,CY078773,CY078772,CY078775,Alaska,USA,IRD:Mallard/Avian,7/4/2009,H4N6,Yes
A/mallard/Interior Alaska/9BM1959/2009,CY079822,CY079821,CY079820,CY079815,CY079818,CY079817,CY079816,CY079819,Alaska,USA,IRD:Mallard/Avian,7/4/2009,H4N6,Yes
A/mallard/Interior Alaska/9BM1962/2009,CY078786,CY078785,CY078784,CY078779,CY078782,CY078781,CY078780,CY078783,Alaska,USA,IRD:Mallard/Avian,7/4/2009,H4N6,Yes
A/mallard/Interior Alaska/9BM1964/2009,CY079605,CY079604,CY079603,CY079598,CY079601,CY079600,CY079599,CY079602,Alaska,USA,IRD:Mallard/Avian,7/6/2009,H4N6,Yes
A/mallard/Interior Alaska/9BM1965/2009,CY078794,CY078793,CY078792,CY078787,CY078790,CY078789,CY078788,CY078791,Alaska,USA,IRD:Mallard/Avian,7/6/2009,H4N6,Yes
A/mallard/Interior Alaska/9BM1967/2009,CY078802,CY078801,CY078800,CY078795,CY078798,CY078797,CY078796,CY078799,Alaska,USA,IRD:Mallard/Avian,7/6/2009,H4N6,Yes
A/mallard/Interior Alaska/9BM1968/2009,CY079830,CY079829,CY079828,CY079823,CY079826,CY079825,CY079824,CY079827,Alaska,USA,IRD:Mallard/Avian,7/6/2009,H4N6,Yes
A/mallard/Interior Alaska/9BM1969/2009,CY079838,CY079837,CY079836,CY079831,CY079834,CY079833,CY079832,CY079835,Alaska,USA,IRD:Mallard/Avian,7/6/2009,H4N6,Yes
A/mallard/Interior Alaska/9BM1974/2009,CY078810,CY078809,CY078808,CY078803,CY078806,CY078805,CY078804,CY078807,Alaska,USA,IRD:Mallard/Avian,7/6/2009,H4N6,Yes
A/mallard/Interior Alaska/9BM1975/2009,CY078818,CY078817,CY078816,CY078811,CY078814,CY078813,CY078812,CY078815,Alaska,USA,IRD:Mallard/Avian,7/6/2009,H4N6,Yes
A/mallard/Interior Alaska/9BM2057/2009,CY078826,CY078825,CY078824,CY078819,CY078822,CY078821,CY078820,CY078823,Alaska,USA,IRD:Mallard/Avian,7/8/2009,H4N6,Yes
A/mallard/Interior Alaska/9BM2073/2009,CY079854,CY079853,CY079852,CY079847,CY079850,CY079849,CY079848,CY079851,Alaska,USA,IRD:Mallard/Avian,7/9/2009,H4N6,Yes
A/mallard/Interior Alaska/9BM2077/2009,CY078834,CY078833,CY078832,CY078827,CY078830,CY078829,CY078828,CY078831,Alaska,USA,IRD:Mallard/Avian,7/9/2009,H4N6,Yes
A/mallard/Interior Alaska/9BM2164/2009,CY079869,CY079868,CY079867,CY079862,CY079865,CY079864,CY079863,CY079866,Alaska,USA,IRD:Mallard/Avian,7/10/2009,H4N6,Yes
A/mallard/Interior Alaska/9BM2168/2009,CY078842,CY078841,CY078840,CY078835,CY078838,CY078837,CY078836,CY078839,Alaska,USA,IRD:Mallard/Avian,7/10/2009,H4N6,Yes
A/mallard/Interior Alaska/9BM2170/2009,CY078850,CY078849,CY078848,CY078843,CY078846,CY078845,CY078844,CY078847,Alaska,USA,IRD:Mallard/Avian,7/10/2009,H4N6,Yes
A/mallard/Interior Alaska/9BM2239/2009,CY079877*,CY079876*,CY079875*,CY079870*,CY079873*,CY079872*,CY079871*,CY079874*,Alaska,USA,IRD:Mallard/Avian,7/11/2009,H4N6,Yes
A/mallard/Interior Alaska/9BM2241R1/2009,CY130363,CY130362,CY130361,CY130356,CY130359,CY130358,CY130357,CY130360,Alaska,USA,IRD:Mallard/Avian,7/11/2009,H4N6,Yes
A/mallard/Interior Alaska/9BM2243/2009,CY079885,CY079884,CY079883,CY079878,CY079881,CY079880,CY079879,CY079882,Alaska,USA,IRD:Mallard/Avian,7/11/2009,H4N6,Yes
A/mallard/Interior Alaska/9BM2250R0/2009,CY130355,CY130354,CY130353,CY130348,CY130351,CY130350,CY130349,CY130352,Alaska,USA,IRD:Mallard/Avian,7/11/2009,H4N6,Yes
A/mallard/Interior Alaska/9BM2252/2009,CY079893,CY079892,CY079891,CY079886,CY079889,CY079888,CY079887,CY079890,Alaska,USA,IRD:Mallard/Avian,7/11/2009,H4N6,Yes
A/mallard/Interior Alaska/9BM2254/2009,CY078858,CY078857,CY078856,CY078851,CY078854,CY078853,CY078852,CY078855,Alaska,USA,IRD:Mallard/Avian,7/11/2009,H4N6,Yes
A/mallard/Interior Alaska/9BM2256/2009,CY078866,CY078865,CY078864,CY078859,CY078862,CY078861,CY078860,CY078863,Alaska,USA,IRD:Mallard/Avian,7/11/2009,H4N6,Yes
A/mallard/Interior Alaska/9BM2259/2009,CY079613,CY079612,CY079611,CY079606,CY079609,CY079608,CY079607,CY079610,Alaska,USA,IRD:Mallard/Avian,7/11/2009,H4N6,Yes
A/mallard/Interior Alaska/9BM2351R0/2009,CY130239,CY130238,CY130237,CY130232,CY130235,CY130234,CY130233,CY130236,Alaska,USA,IRD:Mallard/Avian,7/12/2009,H8N4,Yes
A/mallard/Interior Alaska/9BM2388R0/2009,CY130208,CY130207,CY130206,CY130201,CY130204,CY130203,CY130202,CY130205,Alaska,USA,IRD:Mallard/Avian,7/13/2009,H8N4,Yes
A/mallard/Interior Alaska/9BM2393R0/2009,CY130247,CY130246,CY130245,CY130240,CY130243,CY130242,CY130241,CY130244,Alaska,USA,IRD:Mallard/Avian,7/13/2009,H4N6,Yes
A/mallard/Interior Alaska/9BM2395R0/2009,CY130255,CY130254,CY130253,CY130248,CY130251,CY130250,CY130249,CY130252,Alaska,USA,IRD:Mallard/Avian,7/13/2009,H4N6,Yes
A/mallard/Interior Alaska/9BM2398R0/2009,CY130216,CY130215,CY130214,CY130209,CY130212,CY130211,CY130210,CY130213,Alaska,USA,IRD:Mallard/Avian,7/13/2009,H4N6,Yes
A/mallard/Interior Alaska/9BM2535R0/2009,CY130263,CY130262,CY130261,CY130256,CY130259,CY130258,CY130257,CY130260,Alaska,USA,IRD:Mallard/Avian,7/12/2009,H4N6,Yes
A/mallard/Interior Alaska/9BM2536R0/2009,CY130271,CY130270,CY130269,CY130264,CY130267,CY130266,CY130265,CY130268,Alaska,USA,IRD:Mallard/Avian,7/13/2009,H4N6,Yes
A/mallard/Interior Alaska/9BM2606R0/2009,CY130279,CY130278,CY130277,CY130272,CY130275,CY130274,CY130273,CY130276,Alaska,USA,IRD:Mallard/Avian,7/14/2009,H4N6,Yes
A/mallard/Interior Alaska/9BM2705R0/2009,CY130287,CY130286,CY130285,CY130280,CY130283,CY130282,CY130281,CY130284,Alaska,USA,IRD:Mallard/Avian,7/15/2009,H8N4,Yes
A/mallard/Interior Alaska/9BM2750R0/2009,CY130295,CY130294,CY130293,CY130288,CY130291,CY130290,CY130289,CY130292,Alaska,USA,IRD:Mallard/Avian,7/15/2009,H10N7,Yes
A/mallard/Interior Alaska/9BM2751R0/2009,CY130303,CY130302,CY130301,CY130296,CY130299,CY130298,CY130297,CY130300,Alaska,USA,IRD:Mallard/Avian,7/15/2009,H10N7,Yes
A/mallard/Interior Alaska/9BM2783R0/2009,CY130311,CY130310,CY130309,CY130304,CY130307,CY130306,CY130305,CY130308,Alaska,USA,IRD:Mallard/Avian,7/15/2009,H10N7,Yes
A/mallard/Interior Alaska/9BM3016R0/2009,CY135342,CY135341,CY135340,CY135335,CY135338,CY135337,CY135336,CY135339,Alaska,USA,IRD:Mallard/Avian,7/17/2009,H10N7,Yes
A/mallard/Interior Alaska/9BM3075R2/2009,CY135350,CY135349,CY135348,CY135343,CY135346,CY135345,CY135344,CY135347,Alaska,USA,IRD:Mallard/Avian,7/18/2009,H10N7,Yes
A/mallard/Interior Alaska/9BM3076R0/2009,CY135358,CY135357,CY135356,CY135351,CY135354,CY135353,CY135352,CY135355,Alaska,USA,IRD:Mallard/Avian,7/18/2009,H10N7,Yes
A/mallard/Interior Alaska/9BM3078R0/2009,CY135366,CY135365,CY135364,CY135359,CY135362,CY135361,CY135360,CY135363,Alaska,USA,IRD:Mallard/Avian,7/18/2009,H10N7,Yes
A/mallard/Interior Alaska/9BM3205R0/2009,CY135382,CY135381,CY135380,CY135375,CY135378,CY135377,CY135376,CY135379,Alaska,USA,IRD:Mallard/Avian,7/20/2009,H10N7,Yes
A/mallard/Interior Alaska/9BM3355R0/2009,CY135390,CY135389,CY135388,CY135383,CY135386,CY135385,CY135384,CY135387,Alaska,USA,IRD:Mallard/Avian,7/21/2009,H10N7,Yes
A/mallard/Interior Alaska/9BM3357R0/2009,CY135398,CY135397,CY135396,CY135391,CY135394,CY135393,CY135392,CY135395,Alaska,USA,IRD:Mallard/Avian,7/21/2009,H10N7,Yes
A/mallard/Interior Alaska/9BM3361R0/2009,CY135486,CY135485,CY135484,CY135479,CY135482,CY135481,CY135480,CY135483,Alaska,USA,IRD:Mallard/Avian,7/21/2009,H10N7,Yes
A/mallard/Interior Alaska/9BM3379R0/2009,CY135494,CY135493,CY135492,CY135487,CY135490,CY135489,CY135488,CY135491,Alaska,USA,IRD:Mallard/Avian,7/22/2009,H10N7,Yes
A/mallard/Interior Alaska/9BM6886R0/2009,CY142649,CY142648,CY142647,CY142642,CY142645,CY142644,CY142643,CY142646,Alaska,USA,IRD:Mallard/Avian,8/10/2009,H4N6,Yes
A/mallard/Interior Alaska/9BM8471R0/2009,CY142993,CY142992,CY142991,CY142986,CY142989,CY142988,CY142987,CY142990,Alaska,USA,IRD:Mallard/Avian,8/10/2009,H4N6,Yes
A/mallard/Interior Alaska/9BM8829R0/2009,CY143025,CY143024,CY143023,CY143018,CY143021,CY143020,CY143019,CY143022,Alaska,USA,IRD:Mallard/Avian,8/11/2009,H4N6,Yes
A/mallard/Interior Alaska/9BM9049R0/2009,CY143041,CY143040,CY143039,CY143034,CY143037,CY143036,CY143035,CY143038,Alaska,USA,IRD:Mallard/Avian,8/11/2009,H4N6,Yes
A/mallard/Interior Alaska/9BM9683R2/2009,CY143265,CY143264,CY143263,CY143258,CY143261,CY143260,CY143259,CY143262,Alaska,USA,IRD:Mallard/Avian,8/14/2009,H4N6,Yes
A/mallard/Interior Alaska/9BM9755R0/2009,CY143273,CY143272,CY143271,CY143266,CY143269,CY143268,CY143267,CY143270,Alaska,USA,IRD:Mallard/Avian,8/14/2009,H3N1,Yes
A/mallard/Interior Alaska/9BM9983R0/2009,CY143289,CY143288,CY143287,CY143282,CY143285,CY143284,CY143283,CY143286,Alaska,USA,IRD:Mallard/Avian,8/15/2009,H4N6,Yes
A/mallard/Interior Alaska/9BM9984R0/2009,CY143459,CY143458,CY143457,CY143452,CY143455,CY143454,CY143453,CY143456,Alaska,USA,IRD:Mallard/Avian,8/15/2009,H4N6,Yes
A/mallard/Interior Alaska/9BM9985R0/2009,CY143297,CY143296,CY143295,CY143290,CY143293,CY143292,CY143291,CY143294,Alaska,USA,IRD:Mallard/Avian,8/15/2009,H4N6,Yes
A/mallard/Iowa/10OS2420/2010,CY133584,CY133583,CY133582,CY133577,CY133580,CY133579,CY133578,CY133581,Iowa,USA,IRD:Mallard/Avian,9/18/2010,H4N6,Yes
A/mallard/Iowa/10OS2426/2010,CY133592,CY133591,CY133590,CY133585,CY133588,CY133587,CY133586,CY133589,Iowa,USA,IRD:Mallard/Avian,9/18/2010,H3N8,Yes
A/mallard/Iowa/10OS2492/2010,CY133600,CY133599,CY133598,CY133593,CY133596,CY133595,CY133594,CY133597,Iowa,USA,IRD:Mallard/Avian,9/18/2010,H3N6,Yes
A/mallard/Iowa/10OS2685/2010,CY133439,CY133438,CY133437,CY133432,CY133435,CY133434,CY133433,CY133436,Iowa,USA,IRD:Mallard/Avian,10/16/2010,H4N2,Yes
A/mallard/Iowa/10OS2692/2010,CY133447,CY133446,CY133445,CY133440,CY133443,CY133442,CY133441,CY133444,Iowa,USA,IRD:Mallard/Avian,10/16/2010,H4N2,Yes
A/mallard/Iowa/10OS2721/2010,CY133455,CY133454,CY133453,CY133448,CY133451,CY133450,CY133449,CY133452,Iowa,USA,IRD:Mallard/Avian,10/16/2010,H2N2,Yes
A/mallard/Iowa/10OS2752/2010,CY133471,CY133470,CY133469,CY133464,CY133467,CY133466,CY133465,CY133468,Iowa,USA,IRD:Mallard/Avian,10/17/2010,H11N9,Yes
A/mallard/Iowa/3193/2009,CY097589,CY097588,CY097587,CY097582,CY097585,CY097584,CY097583,CY097586,Iowa,USA,IRD:Mallard/Avian,11/7/2009,H11N9,Yes
A/mallard/Iowa/3195/2009,CY097083*,CY097082*,CY097081*,CY097075*,CY097079*,CY097078*,CY097076*,CY097080*,Iowa,USA,IRD:Mallard/Avian,11/7/2009,(H1),Yes
A/mallard/Iowa/3205/2009,CY097092,CY097091,CY097090,CY097084,CY097088,CY097087,CY097085,CY097089,Iowa,USA,IRD:Mallard/Avian,11/8/2009,mixed,Yes
A/mallard/Michigan/10OS1491/2010,CY132124,CY132123,CY132122,CY132117,CY132120,CY132119,CY132118,CY132121,Michigan,USA,IRD:Mallard/Avian,8/20/2010,H4N6,Yes
A/mallard/Michigan/10OS1497/2010,CY132132,CY132131,CY132130,CY132125,CY132128,CY132127,CY132126,CY132129,Michigan,USA,IRD:Mallard/Avian,8/20/2010,H3N2,Yes
A/mallard/Minnesota/AI09-1666/2009,CY146439,CY146438,CY146437,CY146432,CY146435,CY146434,CY146433,CY146436,Minnesota,USA,IRD:Mallard/Avian,7/27/2009,H10N3,Yes
A/mallard/Minnesota/AI09-1669/2009,CY146447,CY146446,CY146445,CY146440,CY146443,CY146442,CY146441,CY146444,Minnesota,USA,IRD:Mallard/Avian,7/27/2009,H10N3,Yes
A/mallard/Minnesota/AI09-1678/2009,CY140646,CY140645,CY140644,CY140639,CY140642,CY140641,CY140640,CY140643,Minnesota,USA,IRD:Mallard/Avian,7/27/2009,H1N1,Yes
A/mallard/Minnesota/AI09-1684/2009,CY140654,CY140653,CY140652,CY140647,CY140650,CY140649,CY140648,CY140651,Minnesota,USA,IRD:Mallard/Avian,7/27/2009,H1N1,Yes
A/mallard/Minnesota/AI09-1714/2009,KF298398,KF298399,KF298400,KF298401,KF298402,KF298403,KF298404,KF298405,Minnesota,USA,IRD:Mallard/Avian,7/26/2009,H7N1,Yes
A/mallard/Minnesota/AI09-1829/2009,CY140662,CY140661,CY140660,CY140655,CY140658,CY140657,CY140656,CY140659,Minnesota,USA,IRD:Mallard/Avian,7/28/2009,H3N8,Yes
A/mallard/Minnesota/AI09-1833/2009,CY140670,CY140669,CY140668,CY140663,CY140666,CY140665,CY140664,CY140667,Minnesota,USA,IRD:Mallard/Avian,7/28/2009,H8N4,Yes
A/mallard/Minnesota/AI09-1851/2009,CY146455,CY146454,CY146453,CY146448,CY146451,CY146450,CY146449,CY146452,Minnesota,USA,IRD:Mallard/Avian,7/28/2009,H10N5,Yes
A/mallard/Minnesota/AI09-1854/2009,CY140678,CY140677,CY140676,CY140671,CY140674,CY140673,CY140672,CY140675,Minnesota,USA,IRD:Mallard/Avian,7/28/2009,H8N4,Yes
A/mallard/Minnesota/AI09-1864/2009,CY146463,CY146462,CY146461,CY146456,CY146459,CY146458,CY146457,CY146460,Minnesota,USA,IRD:Mallard/Avian,7/28/2009,H10N5,Yes
A/mallard/Minnesota/AI09-1867/2009,CY140686,CY140685,CY140684,CY140679,CY140682,CY140681,CY140680,CY140683,Minnesota,USA,IRD:Mallard/Avian,7/28/2009,H8N4,Yes
A/mallard/Minnesota/AI09-1870/2009,CY140694,CY140693,CY140692,CY140687,CY140690,CY140689,CY140688,CY140691,Minnesota,USA,IRD:Mallard/Avian,7/28/2009,H3N3,Yes
A/mallard/Minnesota/AI09-2434/2009,CY140710,CY140709,CY140708,CY140703,CY140706,CY140705,CY140704,CY140707,Minnesota,USA,IRD:Mallard/Avian,8/5/2009,H3N8,Yes
A/mallard/Minnesota/AI09-2509/2009,CY140718,CY140717,CY140716,CY140711,CY140714,CY140713,CY140712,CY140715,Minnesota,USA,IRD:Mallard/Avian,9/6/2009,H6N1,Yes
A/mallard/Minnesota/AI09-2518/2009,CY140726,CY140725,CY140724,CY140719,CY140722,CY140721,CY140720,CY140723,Minnesota,USA,IRD:Mallard/Avian,9/6/2009,H2N3,Yes
A/mallard/Minnesota/AI09-2519/2009,CY140734,CY140733,CY140732,CY140727,CY140730,CY140729,CY140728,CY140731,Minnesota,USA,IRD:Mallard/Avian,9/6/2009,H3N6,Yes
A/mallard/Minnesota/AI09-2571/2009,CY140742,CY140741,CY140740,CY140735,CY140738,CY140737,CY140736,CY140739,Minnesota,USA,IRD:Mallard/Avian,9/7/2009,H3N8,Yes
A/mallard/Minnesota/AI09-2749/2009,KF298406,KF298407,KF298408,KF298409,KF298410,KF298411,KF298412,KF298413,Minnesota,USA,IRD:Mallard/Avian,9/4/2009,H6N8,Yes
A/mallard/Minnesota/AI09-3066/2009,CY140787,CY140786,CY140785,CY140780,CY140783,CY140782,CY140781,CY140784,Minnesota,USA,IRD:Mallard/Avian,9/7/2009,H12N5,Yes
A/mallard/Minnesota/AI09-3100/2009,CY140795,CY140794,CY140793,CY140788,CY140791,CY140790,CY140789,CY140792,Minnesota,USA,IRD:Mallard/Avian,9/8/2009,H6N3,Yes
A/mallard/Minnesota/AI09-3228/2009,CY140811,CY140810,CY140809,CY140804,CY140807,CY140806,CY140805,CY140808,Minnesota,USA,IRD:Mallard/Avian,9/8/2009,H3N1,Yes
A/mallard/Minnesota/AI09-3302/2009,CY140827,CY140826,CY140825,CY140820,CY140823,CY140822,CY140821,CY140824,Minnesota,USA,IRD:Mallard/Avian,9/9/2009,H11N9,Yes
A/mallard/Minnesota/AI09-3353/2009,CY140835,CY140834,CY140833,CY140828,CY140831,CY140830,CY140829,CY140832,Minnesota,USA,IRD:Mallard/Avian,9/9/2009,H2N9,Yes
A/mallard/Minnesota/AI09-3819/2009,CY140894,CY140893,CY140892,CY140884,CY140888,CY140887,CY140886,CY140890,Minnesota,USA,IRD:Teal/Avian,9/12/2009,(H6),Yes
A/mallard/Minnesota/AI09-3821/2009,CY140902,CY140901,CY140900,CY140895,CY140898,CY140897,CY140896,CY140899,Minnesota,USA,IRD:Mallard/Avian,9/13/2009,H4N6,Yes
A/mallard/Minnesota/AI09-4022/2009,CY140918,CY140917,CY140916,CY140911,CY140914,CY140913,CY140912,CY140915,Minnesota,USA,IRD:Teal/Avian,9/6/2009,H3N2,Yes
A/mallard/Minnesota/AI09-4324/2009,CY140952,CY140951,CY140950,CY140943,CY140947,CY140945,CY140944,CY140949,Minnesota,USA,IRD:Mallard/Avian,9/15/2009,(N8),Yes
A/mallard/Minnesota/AI10-2217/2010,CY141104,CY141103,CY141102,CY141097,CY141100,CY141099,CY141098,CY141101,Minnesota,USA,IRD:Mallard/Avian,8/4/2010,H12N5,Yes
A/mallard/Minnesota/AI10-2762/2010,CY141150,CY141149,CY141148,CY141143,CY141146,CY141145,CY141144,CY141147,Minnesota,USA,IRD:Mallard/Avian,9/1/2010,H11N9,Yes
A/mallard/Mississippi/10OS4494/2010,CY133305,CY133304,CY133303,CY133298,CY133301,CY133300,CY133299,CY133302,Mississippi,USA,IRD:Mallard/Avian,12/10/2010,H1N1,Yes
A/mallard/Mississippi/10OS4593/2010,CY133297,CY133296,CY133295,CY133290,CY133293,CY133292,CY133291,CY133294,Mississippi,USA,IRD:Mallard/Avian,12/11/2010,H1N2,Yes
A/mallard/Mississippi/11OS34/2011,CY133720,CY133719,CY133718,CY133713,CY133716,CY133715,CY133714,CY133717,Mississippi,USA,IRD:Mallard/Avian,1/7/2011,H1N3,Yes
A/mallard/Mississippi/329/2010,CY097701,CY097700,CY097699,CY097694,CY097697,CY097696,CY097695,CY097698,Mississippi,USA,IRD:Mallard/Avian,1/16/2010,H10N7,Yes
A/mallard/Mississippi/354/2010,CY097709,CY097708,CY097707,CY097702,CY097705,CY097704,CY097703,CY097706,Mississippi,USA,IRD:Mallard/Avian,1/16/2010,H3N8,Yes
A/mallard/Mississippi/360/2010,CY097717,CY097716,CY097715,CY097710,CY097713,CY097712,CY097711,CY097714,Mississippi,USA,IRD:Mallard/Avian,1/16/2010,H3N8,Yes
A/mallard/Mississippi/386/2010,CY097725,CY097724,CY097723,CY097718,CY097721,CY097720,CY097719,CY097722,Mississippi,USA,IRD:Mallard/Avian,1/17/2010,H3N8,Yes
A/mallard/Mississippi/390/2010,CY097733,CY097732,CY097731,CY097726,CY097729,CY097728,CY097727,CY097730,Mississippi,USA,IRD:Mallard/Avian,1/17/2010,H3N8,Yes
A/mallard/Mississippi/407/2010,CY097760,CY097759,CY097758,CY097752,CY097756,CY097754,CY097753,CY097757,Mississippi,USA,IRD:Mallard/Avian,1/16/2010,(N2),Yes
A/mallard/Mississippi/413/2010,CY097769,CY097768,CY097767,CY097762,CY097765,CY097764,CY097763,CY097766,Mississippi,USA,IRD:Mallard/Avian,1/17/2010,H1N1,Yes
A/mallard/Mississippi/442/2010,CY097777,CY097776,CY097775,CY097770,CY097773,CY097772,CY097771,CY097774,Mississippi,USA,IRD:Mallard/Avian,1/19/2010,H1N1,Yes
A/mallard/Missouri/10MO0253/2010,CY133808,CY133807,CY133806,CY133801,CY133804,CY133803,CY133802,CY133805,Missouri,USA,IRD:Mallard/Avian,11/16/2010,H1N2,Yes
A/mallard/Missouri/10MO0333/2010,CY133832,CY133831,CY133830,CY133825,CY133828,CY133827,CY133826,CY133829,Missouri,USA,IRD:Mallard/Avian,12/22/2010,H11N9,Yes
A/mallard/Missouri/10MO0334/2010,CY133842,CY133841,CY133840,CY133833,CY133837,CY133835,CY133834,CY133838,Missouri,USA,IRD:Mallard/Avian,12/22/2010,(H11),Yes
A/mallard/Missouri/10MO0391/2010,CY133850,CY133849,CY133848,CY133843,CY133846,CY133845,CY133844,CY133847,Missouri,USA,IRD:Mallard/Avian,12/22/2010,H10N7,Yes
A/mallard/Missouri/10MO053/2010,CY133784,CY133783,CY133782,CY133777,CY133780,CY133779,CY133778,CY133781,Missouri,USA,IRD:Mallard/Avian,11/16/2010,H7N4,Yes
A/mallard/Missouri/10MO0550/2010,CY133876,CY133875,CY133874,CY133869,CY133872,CY133871,CY133870,CY133873,Missouri,USA,IRD:Mallard/Avian,12/29/2010,H11N3,Yes
A/mallard/Missouri/10MO0551/2010,CY132148,CY132147,CY132146,CY132141,CY132144,CY132143,CY132142,CY132145,Missouri,USA,IRD:Mallard/Avian,12/29/2010,H7N7,Yes
A/mallard/Missouri/10MO084/2010,CY133792,CY133791,CY133790,CY133785,CY133788,CY133787,CY133786,CY133789,Missouri,USA,IRD:Mallard/Avian,11/16/2010,H5N9,Yes
A/mallard/Missouri/10OS4670/2010,CY133380,CY133379,CY133378,CY133373,CY133376,CY133375,CY133374,CY133377,Missouri,USA,IRD:Mallard/Avian,12/12/2010,H9N2,Yes
A/mallard/Missouri/129/2009,CY097597,CY097596,CY097595,CY097590,CY097593,CY097592,CY097591,CY097594,Missouri,USA,IRD:Mallard/Avian,12/7/2009,H6N2,Yes
A/mallard/Missouri/132/2009,CY097605,CY097604,CY097603,CY097598,CY097601,CY097600,CY097599,CY097602,Missouri,USA,IRD:Mallard/Avian,12/7/2009,H2N3,Yes
A/mallard/Missouri/220/2009,CY097629,CY097628,CY097627,CY097622,CY097625,CY097624,CY097623,CY097626,Missouri,USA,IRD:Mallard/Avian,12/7/2009,H7N3,Yes
A/mallard/Missouri/350/2009,CY097100,CY097099,CY097098,CY097093,CY097096,CY097095,CY097094,CY097097,Missouri,USA,IRD:Mallard/Avian,12/6/2009,H11N9,Yes
A/mallard/New Brunswick/00324/2010,CY138663,CY138662,CY138661,CY138656,CY138659,CY138658,CY138657,CY138660,-N/A-,Canada,IRD:Mallard/Avian,8/8/2010,H1N1,Yes
A/mallard/New Brunswick/00329/2010,CY138687,CY138686,CY138685,CY138680,CY138683,CY138682,CY138681,CY138684,-N/A-,Canada,IRD:Mallard/Avian,8/8/2010,H1N1,Yes
A/mallard/New Brunswick/00330/2010,CY138699,CY138697,CY138696,CY138688,CY138693,CY138691,CY138690,CY138694,-N/A-,Canada,IRD:Mallard/Avian,8/8/2010,mixed,Yes
A/mallard/New Brunswick/00337/2010,CY138744,CY138743,CY138742,CY138737,CY138740,CY138739,CY138738,CY138741,-N/A-,Canada,IRD:Mallard/Avian,8/8/2010,H1N1,Yes
A/mallard/New Brunswick/00339/2010,CY138752,CY138751,CY138750,CY138745,CY138748,CY138747,CY138746,CY138749,-N/A-,Canada,IRD:Mallard/Avian,8/8/2010,H1N1,Yes
A/mallard/New Brunswick/00340/2010,CY138760,CY138759,CY138758,CY138753,CY138756,CY138755,CY138754,CY138757,-N/A-,Canada,IRD:Mallard/Avian,8/8/2010,H1N1,Yes
A/mallard/New Brunswick/00341/2010,CY138768,CY138767,CY138766,CY138761,CY138764,CY138763,CY138762,CY138765,-N/A-,Canada,IRD:Mallard/Avian,8/8/2010,H3N8,Yes
A/mallard/New Brunswick/00349/2010,CY138792,CY138791,CY138790,CY138785,CY138788,CY138787,CY138786,CY138789,-N/A-,Canada,IRD:Mallard/Avian,8/8/2010,H1N1,Yes
A/mallard/New Brunswick/00388/2010,CY138833,CY138832,CY138831,CY138826,CY138829,CY138828,CY138827,CY138830,-N/A-,Canada,IRD:Mallard/Avian,8/9/2010,mixed,Yes
A/mallard/New Brunswick/00492/2010,CY139013,CY139011,CY139010,CY139003,CY139007,CY139005,CY139004,CY139008,-N/A-,Canada,IRD:Mallard/Avian,8/12/2010,(H3),Yes
A/mallard/New Brunswick/00494/2010,CY139023,CY139022,CY139021,CY139014,CY139019,CY139018,CY139016,CY139020,-N/A-,Canada,IRD:Mallard/Avian,8/12/2010,(N8),Yes
A/mallard/New Brunswick/00495/2010,CY139031,CY139030,CY139029,CY139024,CY139027,CY139026,CY139025,CY139028,-N/A-,Canada,IRD:Mallard/Avian,8/12/2010,H3N8,Yes
A/mallard/New Brunswick/00593/2010,CY139106,CY139105,CY139104,CY139099,CY139102,CY139101,CY139100,CY139103,-N/A-,Canada,IRD:Mallard/Avian,8/15/2010,H3N7,Yes
A/mallard/New Brunswick/00854/2010,CY139326,CY139325,CY139324,CY139319,CY139322,CY139321,CY139320,CY139323,-N/A-,Canada,IRD:Mallard/Avian,9/13/2010,H4N6,Yes
A/mallard/New Brunswick/00879/2010,CY139359,CY139358,CY139357,CY139352,CY139355,CY139354,CY139353,CY139356,-N/A-,Canada,IRD:Mallard/Avian,9/12/2010,H4N9,Yes
A/mallard/New Brunswick/00913/2010,CY139410,CY139409,CY139408,CY139401,CY139406,CY139405,CY139403,CY139407,-N/A-,Canada,IRD:Mallard/Avian,9/14/2010,mixed,Yes
A/mallard/New Brunswick/00960/2010,CY139487,CY139486,CY139485,CY139476,CY139481,CY139478,CY139477,CY139483,-N/A-,Canada,IRD:Mallard/Avian,9/15/2010,mixed,Yes
