Segment,Protein Name,Sequence Accession,Complete Genome,Segment Length,Subtype,Collection Date,Host Species,Country,State/Province,Flu Season,Sample ID
2,"PB1,PB1-F2",CY141610,Yes,2304,H7N3,2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM07458
4,HA,CY141604,Yes,1706,H7N3,2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM07458
8,"NS1,NS2",CY141616,Yes,865,H7N3,2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM07469
5,NP,CY141615,Yes,1540,H7N3,2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM07469
4,HA,CY141612,Yes,1706,H7N3,2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM07469
3,"PA,PA-X protein(+61)",CY141617,Yes,2202,H7N3,2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM07469
6,NA,CY141614,Yes,1428,H7N3,2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM07469
7,"M1,M2",CY141613,Yes,1002,H7N3,2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM07469
2,"PB1,PB1-F2",CY141618,Yes,2304,H7N3,2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM07469
1,PB2,CY141619,Yes,2307,H7N3,2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM07469
6,NA,CY143478,Yes,1439,H4N6,8/2/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM07476
7,"M1,M2",CY143477,Yes,991,H4N6,8/2/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM07476
1,PB2,CY143483,Yes,2307,H4N6,8/2/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM07476
5,NP,CY143479,Yes,1540,H4N6,8/2/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM07476
8,"NS1,NS2",CY143480,Yes,865,H4N6,8/2/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM07476
4,HA,CY143476,Yes,1708,H4N6,8/2/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM07476
2,"PB1,PB1-F2",CY143482,Yes,2309,H4N6,8/2/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM07476
3,"PA,PA-X protein(+61)",CY143481,Yes,2151,H4N6,8/2/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM07476
3,"PA,PA-X protein(+61)",CY143497,Yes,2208,H3N8,8/2/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM07597
2,"PB1,PB1-F2",CY143498,Yes,2309,H3N8,8/2/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM07597
1,PB2,CY143499,Yes,2316,H3N8,8/2/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM07597
8,"NS1,NS2",CY143496,Yes,864,H3N8,8/2/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM07597
7,"M1,M2",CY143493,Yes,982,H3N8,8/2/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM07597
4,HA,CY143492,Yes,1740,H3N8,8/2/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM07597
5,NP,CY143495,Yes,1540,H3N8,8/2/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM07597
6,NA,CY143494,Yes,1421,H3N8,8/2/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM07597
6,NA,CY141638,Yes,1428,H7N3,2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM07737
7,"M1,M2",CY141637,Yes,1002,H7N3,2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM07737
3,"PA,PA-X protein(+61)",CY141641,Yes,2202,H7N3,2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM07737
4,HA,CY141636,Yes,1706,H7N3,2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM07737
5,NP,CY141639,Yes,1540,H7N3,2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM07737
1,PB2,CY141643,Yes,2301,H7N3,2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM07737
2,"PB1,PB1-F2",CY141642,Yes,2304,H7N3,2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM07737
8,"NS1,NS2",CY141640,Yes,865,H7N3,2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM07737
2,"PB1,PB1-F2",CY143546,Yes,2311,H4N6,8/3/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM07993
1,PB2,CY143547,Yes,2307,H4N6,8/3/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM07993
7,"M1,M2",CY143541,Yes,991,H4N6,8/3/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM07993
6,NA,CY143542,Yes,1439,H4N6,8/3/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM07993
8,"NS1,NS2",CY143544,Yes,865,H4N6,8/3/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM07993
3,"PA,PA-X protein(+61)",CY143545,Yes,2202,H4N6,8/3/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM07993
4,HA,CY143540,Yes,1708,H4N6,8/3/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM07993
5,NP,CY143543,Yes,1540,H4N6,8/3/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM07993
6,NA,CY141680,Yes,1428,H7N3,2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08400
4,HA,CY141678,Yes,1706,H7N3,2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08400
7,"M1,M2",CY141679,Yes,1002,H7N3,2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08400
3,"PA,PA-X protein(+61)",CY141683,Yes,2202,H7N3,2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08400
8,"NS1,NS2",CY141682,Yes,865,H7N3,2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08400
2,"PB1,PB1-F2",CY141684,Yes,2304,H7N3,2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08400
1,PB2,CY141685,Yes,2307,H7N3,2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08400
5,NP,CY141681,Yes,1540,H7N3,2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08400
8,"NS1,NS2",CY143592,Yes,864,H3N8,8/4/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08488
3,"PA,PA-X protein(+61)",CY143593,Yes,2208,H3N8,8/4/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08488
7,"M1,M2",CY143589,Yes,1002,H3N8,8/4/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08488
4,HA,CY143588,Yes,1740,H3N8,8/4/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08488
1,PB2,CY143595,Yes,2316,H3N8,8/4/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08488
2,"PB1,PB1-F2",CY143594,Yes,2316,H3N8,8/4/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08488
6,NA,CY143590,Yes,1421,H3N8,8/4/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08488
5,NP,CY143591,Yes,1540,H3N8,8/4/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08488
8,"NS1,NS2",CY143600,Yes,864,H3N8,8/4/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08489
3,"PA,PA-X protein(+61)",CY143601,Yes,2208,H3N8,8/4/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08489
1,PB2,CY143603,Yes,2316,H3N8,8/4/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08489
5,NP,CY143599,Yes,1540,H3N8,8/4/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08489
4,HA,CY143596,Yes,1740,H3N8,8/4/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08489
6,NA,CY143598,Yes,1421,H3N8,8/4/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08489
2,"PB1,PB1-F2",CY143602,Yes,2316,H3N8,8/4/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08489
7,"M1,M2",CY143597,Yes,1002,H3N8,8/4/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08489
2,"PB1,PB1-F2",CY143610,Yes,2316,H3N8,8/4/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08493
1,PB2,CY143611,Yes,2316,H3N8,8/4/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08493
3,"PA,PA-X protein(+61)",CY143609,Yes,2208,H3N8,8/4/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08493
5,NP,CY143607,Yes,1540,H3N8,8/4/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08493
4,HA,CY143604,Yes,1740,H3N8,8/4/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08493
6,NA,CY143606,Yes,1421,H3N8,8/4/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08493
8,"NS1,NS2",CY143608,Yes,864,H3N8,8/4/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08493
7,"M1,M2",CY143605,Yes,991,H3N8,8/4/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08493
1,PB2,CY143619,Yes,2316,H3N8,8/4/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08505
8,"NS1,NS2",CY143616,Yes,865,H3N8,8/4/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08505
2,"PB1,PB1-F2",CY143618,Yes,2316,H3N8,8/4/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08505
3,"PA,PA-X protein(+61)",CY143617,Yes,2208,H3N8,8/4/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08505
6,NA,CY143614,Yes,1421,H3N8,8/4/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08505
5,NP,CY143615,Yes,1540,H3N8,8/4/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08505
7,"M1,M2",CY143613,Yes,1002,H3N8,8/4/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08505
4,HA,CY143612,Yes,1740,H3N8,8/4/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08505
2,"PB1,PB1-F2",CY143626,Yes,2309,H4N6,8/4/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08514
5,NP,CY143623,Yes,1540,H4N6,8/4/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08514
7,"M1,M2",CY143621,Yes,1002,H4N6,8/4/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08514
6,NA,CY143622,Yes,1439,H4N6,8/4/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08514
1,PB2,CY143627,Yes,2316,H4N6,8/4/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08514
8,"NS1,NS2",CY143624,Yes,865,H4N6,8/4/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08514
4,HA,CY143620,Yes,1708,H4N6,8/4/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08514
3,"PA,PA-X protein(+61)",CY143625,Yes,2151,H4N6,8/4/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08514
8,"NS1,NS2",CY143632,Yes,865,H4N6,8/4/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08540
5,NP,CY143631,Yes,1540,H4N6,8/4/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08540
3,"PA,PA-X protein(+61)",CY143633,Yes,2151,H4N6,8/4/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08540
4,HA,CY143628,Yes,1708,H4N6,8/4/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08540
1,PB2,CY143635,Yes,2307,H4N6,8/4/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08540
2,"PB1,PB1-F2",CY143634,Yes,2311,H4N6,8/4/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08540
6,NA,CY143630,Yes,1439,H4N6,8/4/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08540
7,"M1,M2",CY143629,Yes,991,H4N6,8/4/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08540
6,NA,CY141688,Yes,1428,H7N3,2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08586
1,PB2,CY141693,Yes,2307,H7N3,2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08586
5,NP,CY141689,Yes,1540,H7N3,2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08586
8,"NS1,NS2",CY141690,Yes,865,H7N3,2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08586
2,"PB1,PB1-F2",CY141692,Yes,2304,H7N3,2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08586
3,"PA,PA-X protein(+61)",CY141691,Yes,2151,H7N3,2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08586
4,HA,CY141686,Yes,1706,H7N3,2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08586
7,"M1,M2",CY141687,Yes,1002,H7N3,2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08586
7,"M1,M2",CY143637,Yes,991,H3N8,8/4/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08587
8,"NS1,NS2",CY143640,Yes,864,H3N8,8/4/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08587
2,"PB1,PB1-F2",CY143642,Yes,2316,H3N8,8/4/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08587
1,PB2,CY143643,Yes,2316,H3N8,8/4/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08587
3,"PA,PA-X protein(+61)",CY143641,Yes,2208,H3N8,8/4/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08587
6,NA,CY143638,Yes,1421,H3N8,8/4/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08587
4,HA,CY143636,Yes,1740,H3N8,8/4/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08587
5,NP,CY143639,Yes,1540,H3N8,8/4/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08587
8,"NS1,NS2",CY143648,Yes,865,H4N6,8/4/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08612
1,PB2,CY143651,Yes,2307,H4N6,8/4/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08612
4,HA,CY143644,Yes,1708,H4N6,8/4/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08612
2,"PB1,PB1-F2",CY143650,Yes,2309,H4N6,8/4/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08612
6,NA,CY143646,Yes,1439,H4N6,8/4/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08612
3,"PA,PA-X protein(+61)",CY143649,Yes,2151,H4N6,8/4/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08612
7,"M1,M2",CY143645,Yes,982,H4N6,8/4/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08612
5,NP,CY143647,Yes,1540,H4N6,8/4/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08612
6,NA,CY141696,Yes,1428,H7N3,2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08705
4,HA,CY141694,Yes,1706,H7N3,2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08705
8,"NS1,NS2",CY141698,Yes,853,H7N3,2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08705
2,"PB1,PB1-F2",CY141700,Yes,2304,H7N3,2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08705
3,"PA,PA-X protein(+61)",CY141699,Yes,2202,H7N3,2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08705
1,PB2,CY141701,Yes,2307,H7N3,2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08705
5,NP,CY141697,Yes,1540,H7N3,2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08705
7,"M1,M2",CY141695,Yes,1002,H7N3,2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08705
7,"M1,M2",CY143669,Yes,991,H4N6,8/5/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08899
3,"PA,PA-X protein(+61)",CY143673,Yes,2151,H4N6,8/5/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08899
2,"PB1,PB1-F2",CY143674,Yes,2309,H4N6,8/5/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08899
8,"NS1,NS2",CY143672,Yes,865,H4N6,8/5/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08899
1,PB2,CY143675,Yes,2307,H4N6,8/5/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08899
6,NA,CY143670,Yes,1439,H4N6,8/5/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08899
5,NP,CY143671,Yes,1540,H4N6,8/5/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08899
4,HA,CY143668,Yes,1708,H4N6,8/5/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08899
2,"PB1,PB1-F2",CY143682,Yes,2309,H4N6,8/5/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08903
7,"M1,M2",CY143677,Yes,991,H4N6,8/5/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08903
6,NA,CY143678,Yes,1439,H4N6,8/5/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08903
8,"NS1,NS2",CY143680,Yes,865,H4N6,8/5/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08903
3,"PA,PA-X protein(+61)",CY143681,Yes,2202,H4N6,8/5/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08903
5,NP,CY143679,Yes,1540,H4N6,8/5/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08903
4,HA,CY143676,Yes,1708,H4N6,8/5/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08903
1,PB2,CY143683,Yes,2307,H4N6,8/5/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08903
5,NP,CY143687,Yes,1540,H3N8,8/5/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08920
8,"NS1,NS2",CY143688,Yes,864,H3N8,8/5/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08920
6,NA,CY143686,Yes,1421,H3N8,8/5/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08920
3,"PA,PA-X protein(+61)",CY143689,Yes,2151,H3N8,8/5/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08920
2,"PB1,PB1-F2",CY143690,Yes,2309,H3N8,8/5/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08920
7,"M1,M2",CY143685,Yes,1002,H3N8,8/5/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08920
1,PB2,CY143691,Yes,2316,H3N8,8/5/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08920
4,HA,CY143684,Yes,1740,H3N8,8/5/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM08920
5,NP,CY143775,Yes,1540,H3N8,8/5/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM09101
2,"PB1,PB1-F2",CY143778,Yes,2309,H3N8,8/5/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM09101
1,PB2,CY143779,Yes,2316,H3N8,8/5/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM09101
7,"M1,M2",CY143773,Yes,987,H3N8,8/5/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM09101
4,HA,CY143772,Yes,1740,H3N8,8/5/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM09101
6,NA,CY143774,Yes,1421,H3N8,8/5/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM09101
3,"PA,PA-X protein(+61)",CY143777,Yes,2151,H3N8,8/5/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM09101
8,"NS1,NS2",CY143776,Yes,864,H3N8,8/5/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM09101
8,"NS1,NS2",CY143784,Yes,864,H3N8,8/5/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM09102
4,HA,CY143780,Yes,1740,H3N8,8/5/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM09102
6,NA,CY143782,Yes,1421,H3N8,8/5/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM09102
3,"PA,PA-X protein(+61)",CY143785,Yes,2151,H3N8,8/5/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM09102
5,NP,CY143783,Yes,1540,H3N8,8/5/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM09102
7,"M1,M2",CY143781,Yes,1002,H3N8,8/5/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM09102
2,"PB1,PB1-F2",CY143786,Yes,2309,H3N8,8/5/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM09102
1,PB2,CY143787,Yes,2316,H3N8,8/5/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM09102
7,"M1,M2",CY143789,Yes,1002,H3N8,8/5/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM09104
2,"PB1,PB1-F2",CY143794,Yes,2309,H3N8,8/5/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM09104
1,PB2,CY143795,Yes,2316,H3N8,8/5/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM09104
4,HA,CY143788,Yes,1740,H3N8,8/5/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM09104
3,"PA,PA-X protein(+61)",CY143793,Yes,2151,H3N8,8/5/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM09104
8,"NS1,NS2",CY143792,Yes,864,H3N8,8/5/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM09104
6,NA,CY143790,Yes,1421,H3N8,8/5/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM09104
5,NP,CY143791,Yes,1540,H3N8,8/5/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM09104
4,HA,CY143796,Yes,1740,H3N8,8/5/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM09105
8,"NS1,NS2",CY143800,Yes,865,H3N8,8/5/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM09105
2,"PB1,PB1-F2",CY143802,Yes,2310,H3N8,8/5/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM09105
6,NA,CY143798,Yes,1421,H3N8,8/5/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM09105
1,PB2,CY143803,Yes,2316,H3N8,8/5/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM09105
5,NP,CY143799,Yes,1540,H3N8,8/5/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM09105
7,"M1,M2",CY143797,Yes,1002,H3N8,8/5/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM09105
3,"PA,PA-X protein(+61)",CY143801,Yes,2208,H3N8,8/5/2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM09105
6,NA,CY141728,Yes,1428,H7N3,2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM09181
7,"M1,M2",CY141727,Yes,1002,H7N3,2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM09181
2,"PB1,PB1-F2",CY141732,Yes,2304,H7N3,2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM09181
1,PB2,CY141733,Yes,2307,H7N3,2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM09181
4,HA,CY141726,Yes,1706,H7N3,2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM09181
8,"NS1,NS2",CY141730,Yes,865,H7N3,2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM09181
3,"PA,PA-X protein(+61)",CY141731,Yes,2151,H7N3,2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM09181
5,NP,CY141729,Yes,1540,H7N3,2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM09181
8,"NS1,NS2",CY141738,Yes,865,H7N3,2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM09347
1,PB2,CY141741,Yes,2307,H7N3,2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM09347
3,"PA,PA-X protein(+61)",CY141739,Yes,2151,H7N3,2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM09347
2,"PB1,PB1-F2",CY141740,Yes,2304,H7N3,2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM09347
7,"M1,M2",CY141735,Yes,1002,H7N3,2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM09347
5,NP,CY141737,Yes,1540,H7N3,2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM09347
6,NA,CY141736,Yes,1428,H7N3,2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM09347
4,HA,CY141734,Yes,1706,H7N3,2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM09347
7,"M1,M2",CY141743,Yes,1002,H7N3,2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM09348
6,NA,CY141744,Yes,1428,H7N3,2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM09348
5,NP,CY141745,Yes,1540,H7N3,2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM09348
4,HA,CY141742,Yes,1706,H7N3,2010,IRD:Northern Pintail/Avian,USA,Alaska,-N/A-,10BM09348
