Common Name,Sample ID,Band  #,Web Tag #,Nest ID,HS Bird ID,Species,Species.1,Sex,Capture,Health,Age,Age simple,Wild/Dom.,Habitat,Sample Type,GPS N,GPS W,Time,Date,Month,Year,Name,Location,Data Sheet,Capture #,Banding Date,Recap?,Ours or Foreign?,Category,Mass,Head,Total Tarsus,Wing Chord,Culmen,Grain Index,Blood Vial,Serum Vial,Whole Blood,Specific Location,Capture Method,Vial Notes,Marker Notes,Notes,Paired?,Date Shot,Time Shot,Fecal Quality,Fecal Loc,Brood ID,Hen Band #,"Wet, Dry, Pipping?",Brood Size,HEN STATUS?,decoy band,Cloacal Sample ID,Oral Sample ID,Notes.1,Sequence Accession,Sequence Accession2,Sequence Accession3,Sequence Accession4,Sequence Accession5,Sequence Accession6,Sequence Accession7,Sequence Accession8
A/mallard/Interior Alaska/9BM11065R0/2009(H10N7),9BM11065,1827-91310,,,,MALL,Anas platyrhynchos,F,A,H,AHY,AHY,W,M,C,64.87341,148.8573,1200,18-Aug-09,8,2009,Michael J. Petrula,"Minto Flats, USA, AK",MP11,234,U,,,MIGRANT,1303,103.9,50.6,275,,4,,,,MUDDY BUTT,BAIT TRAP,,,,,,,,,,,,,,,,,,CY142137,CY142136,CY142135,CY142130,CY142133,CY142132,CY142131,CY142134
A/northern pintail/Interior Alaska/9BM11151R0/2009(H10N7),9BM11151,1146-18968,,,,NOPI,Anas acuta,M,A,H,HY,HY,W,M,C,64.91926,148.80902,1036,18-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",RB37,891,3-Aug-09,Y,O,MIGRANT,990,,,266,,0,,,,WACKY DUCK NECK E BAIT 3,BAIT TRAP,,,,,,,,,,,,,,,,,,CY142145,CY142144,CY142143,CY142138,CY142141,CY142140,CY142139,CY142142
A/northern pintail/Interior Alaska/9BM11179R0/2009(H10N7),9BM11179,1146-19617,,,,NOPI,Anas acuta,M,A,H,HY,HY,W,M,C,64.91926,148.80902,1036,18-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",RB37,905,11-Aug-09,Y,O,MIGRANT,789,,,255,,0,,,,WACKY DUCK NECK E BAIT 3,BAIT TRAP,,,,,,,,,,,,,,,,,,CY142153,CY142152,CY142151,CY142146,CY142149,CY142148,CY142147,CY142150
A/northern pintail/Interior Alaska/9BM11231R0/2009(H3N8),9BM11231,1146-19960,,,,NOPI,Anas acuta,M,A,H,HY,HY,W,M,C,64.92091,148.84015,1324,18-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",B86,2089,18-Aug-09,N,,MIGRANT,738,106.9,49,261,,0,,,,ROUND LAKE,BAIT TRAP,,,,,,,,,,,,,,,,,,CY142801,CY142800,CY142799,CY142794,CY142797,CY142796,CY142795,CY142798
A/northern pintail/Interior Alaska/9BM11317R0/2009(H10N7),9BM11317,1146-19435,,,,NOPI,Anas acuta,M,A,H,HY,HY,W,M,C,64.89986,148.83792,1400,18-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",RB39,940,10-Aug-09,Y,O,MIGRANT,922,,,262,,0,,,,BACK DOOR,BAIT TRAP,,,,,,,,,,,,,,,,,,CY142161,CY142160,CY142159,CY142154,CY142157,CY142156,CY142155,CY142158
A/northern pintail/Interior Alaska/9BM11325R0/2009(H3N1),9BM11325,1146-19184,,,,NOPI,Anas acuta,F,A,H,HY,HY,W,M,C,64.89986,148.83792,1400,18-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",RB39,944,7-Aug-09,Y,O,MIGRANT,611,,,254,,0,,,,BACK DOOR,BAIT TRAP,,,,,,,,,,,,,,,,,,CY136093,CY136092,CY136091,CY136086,CY136089,CY136088,CY136087,CY136090
A/mallard/Interior Alaska/9BM11351R0/2009(H10N7),9BM11351,1837-22911,,,,MALL,Anas platyrhynchos,M,A,H,HY,HY,W,M,C,64.89986,148.83792,2029,18-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",B87,2121,18-Aug-09,N,,MIGRANT,1146,112.5,54.4,286,,2,454,9BM20454,9BM30454,BACK DOOR,BAIT TRAP,,,,,,,,,,,,,,,,,,CY142169,CY142168,CY142167,CY142162,CY142165,CY142164,CY142163,CY142166
A/northern pintail/Interior Alaska/9BM11358R1/2009(H10N7),9BM11358,1146-19983,,,,NOPI,Anas acuta,F,A,H,HY,HY,W,M,OP,64.909,148.85644,2054,18-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",B87,2124,18-Aug-09,N,,MIGRANT,685,99.2,46.4,248,,0,449,9BM20449,9BM30449,HUNTER LAKE,BAIT TRAP,,,,,,,,,,,,,,,,,,CY142401,CY142400,CY142399,CY142394,CY142397,CY142396,CY142395,CY142398
A/mallard/Interior Alaska/9BM11381R0/2009(H3N8),9BM11381,1837-22682,,,,MALL,Anas platyrhynchos,M,A,H,AHY,AHY,W,M,C,64.89986,148.83792,2029,18-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",RB39,954,9-Aug-09,Y,O,MIGRANT,1243,,,278,,0,,,,BACK DOOR,BAIT TRAP,,,,,,,,,,,,,,,,,,CY142809,CY142808,CY142807,CY142802,CY142805,CY142804,CY142803,CY142806
A/mallard/Interior Alaska/9BM11382R0/2009(H3N8),9BM11382,1837-22682,,,,MALL,Anas platyrhynchos,M,A,H,AHY,AHY,W,M,OP,64.89986,148.83792,2029,18-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",RB39,954,9-Aug-09,Y,O,MIGRANT,1243,,,278,,0,,,,BACK DOOR,BAIT TRAP,,,,,,,,,,,,,,,,,,CY142409,CY142408,CY142407,CY142402,CY142405,CY142404,CY142403,CY142406
A/northern pintail/Interior Alaska/9BM11387R0/2009(H10N7),9BM11387,1146-19298,,,,NOPI,Anas acuta,F,A,H,HY,HY,W,M,C,64.89986,148.83792,2029,18-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",RB39,957,8-Aug-09,Y,O,MIGRANT,736,,,255,,0,,,,BACK DOOR,BAIT TRAP,,,,,,,,,,,,,,,,,,CY136101,CY136100,CY136099,CY136094,CY136097,CY136096,CY136095,CY136098
A/northern pintail/Interior Alaska/9BM11389R0/2009(H10N7),9BM11389,1146-19316,,,,NOPI,Anas acuta,F,A,H,HY,HY,W,M,C,64.89986,148.83792,2029,18-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",RB39,958,8-Aug-09,Y,O,MIGRANT,721,,,248,,0,,,,BACK DOOR,BAIT TRAP,,,,,,,,,,,,,,,,,,CY141374*,CY141373*,CY141372*,CY141367*,CY141370*,CY141369*,CY141368*,CY141371*
A/northern pintail/Interior Alaska/9BM11409R0/2009(H12N5),9BM11409,1146-18961,,,,NOPI,Anas acuta,M,A,H,HY,HY,W,M,C,64.89986,148.83792,2029,18-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",RB40,968,3-Aug-09,Y,O,MIGRANT,995,,,268,,0,,,,BACK DOOR,BAIT TRAP,,,,,,,,,,,,,,,,,,CY142177,CY142176,CY142175,CY142170,CY142173,CY142172,CY142171,CY142174
A/northern pintail/Interior Alaska/9BM11431R0/2009(H3N1),9BM11431,1146-19565,,,,NOPI,Anas acuta,M,A,H,HY,HY,W,M,C,64.92091,148.84015,2315,18-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",RB40,979,10-Aug-09,Y,O,MIGRANT,797,,,263,,1,,,,ROUND LAKE,BAIT TRAP,,,,,,,,,,,,,,,,,,CY136109,CY136108,CY136107,CY136102,CY136105,CY136104,CY136103,CY136106
A/northern pintail/Interior Alaska/9BM11487R0/2009(H3N8),9BM11487,1146-19994,,,,NOPI,Anas acuta,F,A,H,HY,HY,W,M,C,64.92091,148.84015,2315,18-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",B88,2136,18-Aug-09,N,,MIGRANT,642,95.6,45.6,240,,0,,,,ROUND LAKE,BAIT TRAP,,,,,,,,,,,,,,,,,,CY142817,CY142816,CY142815,CY142810,CY142813,CY142812,CY142811,CY142814
A/mallard/Interior Alaska/9BM11542R0/2009(H3N8),9BM11542,1837-22469,,,,MALL,Anas platyrhynchos,F,A,H,HY,HY,W,M,C,64.89807,148.76663,1920,19-Aug-09,8,2009,Michael J. Petrula,"Minto Flats, USA, AK",MP13,273,1-Jul-09,Y,O,MIGRANT,1090,108.2,53.7,261,,2,,,,BIG PENINSULA,BAIT TRAP,,,,,,,,,,,,,,,,,,CY142825,CY142824,CY142823,CY142818,CY142821,CY142820,CY142819,CY142822
A/northern pintail/Interior Alaska/9BM11556R0/2009(H8N4),9BM11556,1096-80425,,,,NOPI,Anas acuta,M,A,H,HY,HY,W,M,C,64.88316,148.84933,2105,19-Aug-09,8,2009,Michael J. Petrula,"Minto Flats, USA, AK",MP13,280,U,,,MIGRANT,921,102.8,50.4,267,,2,,,,MALLARD HOLE,BAIT TRAP,,,,,,,,,,,,,,,,,,CY142185,CY142184,CY142183,CY142178,CY142181,CY142180,CY142179,CY142182
A/northern pintail/Interior Alaska/9BM11564R0/2009(H10N4),9BM11564,1096-80433,,,,NOPI,Anas acuta,F,A,H,HY,HY,W,M,C,64.88316,148.84933,2105,19-Aug-09,8,2009,Michael J. Petrula,"Minto Flats, USA, AK",MP13,284,U,,,MIGRANT,793,95,48.7,251,,0,,,,MALLARD HOLE,BAIT TRAP,,,,,,,,,,,,,,,,,,CY142193,CY142192,CY142191,CY142186,CY142189,CY142188,CY142187,CY142190
A/northern pintail/Interior Alaska/9BM11572R0/2009(H3N8),9BM11572,1146-19731,,,,NOPI,Anas acuta,M,A,H,HY,HY,W,M,C,64.91926,148.80902,1036,20-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",RB46,1119,13-Aug-09,Y,O,MIGRANT,921,,,266,,1,,,,WACKY DUCK NECK E BAIT 3,BAIT TRAP,,,,,,,,,,,,,,,,,,CY142833,CY142832,CY142831,CY142826,CY142829,CY142828,CY142827,CY142830
A/northern pintail/Interior Alaska/9BM11583R0/2009(H10N7),9BM11583,1146-19224,,,,NOPI,Anas acuta,F,A,H,HY,HY,W,M,OP,64.91926,148.80902,1036,20-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",RB46,1124,7-Aug-09,Y,O,MIGRANT,738,,,248,,0,,,,WACKY DUCK NECK E BAIT 3,BAIT TRAP,,,,,,,,,,,,,,,,,,CY142417,CY142416,CY142415,CY142410,CY142413,CY142412,CY142411,CY142414
A/northern pintail/Interior Alaska/9BM11643R0/2009(H8N4),9BM11643,1146-18759,,,,NOPI,Anas acuta,F,A,H,HY,HY,W,M,C,64.91926,148.80902,2355,18-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",RB42,1015,31-Jul-09,Y,O,MIGRANT,758,,,251,,0,,,,WACKY DUCK NECK E BAIT 3,BAIT TRAP,,,,,,,,,,,,,,,,,,CY142201,CY142200,CY142199,CY142194,CY142197,CY142196,CY142195,CY142198
A/northern pintail/Interior Alaska/9BM11719R1/2009(H4N6),9BM11719,1096-80065,,,,NOPI,Anas acuta,F,A,H,HY,HY,W,M,C,64.91926,148.80902,1115,19-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",RB43,1053,U,Y,F,MIGRANT,659,95.8,45.4,244,,0,,,,WACKY DUCK NECK E BAIT 3,BAIT TRAP,,,,,,,,,,,,,,,,,,CY142841,CY142840,CY142839,CY142834,CY142837,CY142836,CY142835,CY142838
A/northern pintail/Interior Alaska/9BM11757R0/2009(H3N8),9BM11757,1146-20015,,,,NOPI,Anas acuta,F,A,H,HY,HY,W,M,C,64.92091,148.84015,1321,19-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",B89,2161,19-Aug-09,N,,MIGRANT,763,98,46.8,249,,0,469,9BM20469,9BM30469,ROUND LAKE,BAIT TRAP,,,,,,,,,,,,,,,,,,CY142849,CY142848,CY142847,CY142842,CY142845,CY142844,CY142843,CY142846
A/northern pintail/Interior Alaska/9BM11779R0/2009(H10N7),9BM11779,1146-19275,,,,NOPI,Anas acuta,F,A,H,HY,HY,W,M,C,64.92091,148.84015,1321,19-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",RB43,1062,8-Aug-09,Y,O,MIGRANT,760,,,261,,1,,,,ROUND LAKE,BAIT TRAP,,,,,,,,,,,,,,,,,,CY142209,CY142208,CY142207,CY142202,CY142205,CY142204,CY142203,CY142206
A/northern pintail/Interior Alaska/9BM11783R0/2009(H10N7),9BM11783,1146-19435,,,,NOPI,Anas acuta,M,A,H,HY,HY,W,M,C,64.92091,148.84015,1321,19-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",RB43,1064,10-Aug-09,Y,O,MIGRANT,935,,,264,,2,,,,ROUND LAKE,BAIT TRAP,,,,,,,,,,,,,,,,,,CY142217,CY142216,CY142215,CY142210,CY142213,CY142212,CY142211,CY142214
A/northern pintail/Interior Alaska/9BM11787R0/2009(H3N7),9BM11787,1146-18847,,,,NOPI,Anas acuta,F,A,H,HY,HY,W,M,C,64.92091,148.84015,1321,19-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",RB44,1066,2-Aug-09,Y,O,MIGRANT,811,,,249,,2,,,,ROUND LAKE,BAIT TRAP,,,,,,,,,,,,,,,,,,CY141448,CY141447,CY141446,CY141441,CY141444,CY141443,CY141442,CY141445
A/northern pintail/Interior Alaska/9BM11789R0/2009(H3N8),9BM11789,1096-80310,,,,NOPI,Anas acuta,M,A,H,HY,HY,W,M,C,64.92091,148.84015,1321,19-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",RB44,1067,U,Y,F,MIGRANT,737,107.2,51.1,266,,0,,,,ROUND LAKE,BAIT TRAP,,,,,,,,,,,,,,,,,,CY142857,CY142856,CY142855,CY142850,CY142853,CY142852,CY142851,CY142854
A/mallard/Interior Alaska/9BM11867R0/2009(H3N8),9BM11867,1837-22923,,,,MALL,Anas platyrhynchos,M,A,H,HY,HY,W,M,C,64.89986,148.83792,2141,19-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",B89,2181,19-Aug-09,N,,MIGRANT,1135,110.9,54.9,275,,0,490,9BM20490,9BM30490,BACK DOOR,BAIT TRAP,,,,,,,,,,,,,,,,,,CY142865,CY142864,CY142863,CY142858,CY142861,CY142860,CY142859,CY142862
A/northern pintail/Interior Alaska/9BM11911R0/2009(H3N8),9BM11911,1146-19675,,,,NOPI,Anas acuta,F,A,H,HY,HY,W,M,C,64.89986,148.83792,2141,19-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",RB45,1103,12-Aug-09,Y,O,MIGRANT,874,,,254,,0,,,,BACK DOOR,BAIT TRAP,,,,,,,,,,,,,,,,,,CY142873,CY142872,CY142871,CY142866,CY142869,CY142868,CY142867,CY142870
A/northern pintail/Interior Alaska/9BM11915R0/2009(H4N6),9BM11915,1146-19797,,,,NOPI,Anas acuta,M,A,H,HY,HY,W,M,C,64.89986,148.83792,2141,19-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",RB45,1105,15-Aug-09,Y,O,MIGRANT,796,,,263,,0,,,,BACK DOOR,BAIT TRAP,,,,,,,,,,,,,,,,,,CY142881,CY142880,CY142879,CY142874,CY142877,CY142876,CY142875,CY142878
A/northern pintail/Interior Alaska/9BM11917R0/2009(H8N4),9BM11917,1146-19048,,,,NOPI,Anas acuta,F,A,H,HY,HY,W,M,C,64.89986,148.83792,2141,19-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",RB45,1106,5-Aug-09,Y,O,MIGRANT,896,,,246,,3,,,,BACK DOOR,BAIT TRAP,,,,,,,,,,,,,,,,,,CY142225,CY142224,CY142223,CY142218,CY142221,CY142220,CY142219,CY142222
A/mallard/Interior Alaska/9BM11965R0/2009(H3N8),9BM11965,1757-75157,,,,MALL,Anas platyrhynchos,F,A,H,HY,HY,W,M,C,64.89207,148.79384,1055,20-Aug-09,8,2009,Michael J. Petrula,"Minto Flats, USA, AK",MP14,299,U,,,MIGRANT,1063,104.5,52.1,266,,2,,,,EAST MINTO,BAIT TRAP,,,,,,,,,,,,,,,,,,CY142889,CY142888,CY142887,CY142882,CY142885,CY142884,CY142883,CY142886
A/northern pintail/Interior Alaska/9BM12066R1/2009(H3N8),9BM12066,1146-19702,,,,NOPI,Anas acuta,M,A,H,HY,HY,W,M,C,64.92091,148.84015,1216,20-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",RB46,1134,13-Aug-09,Y,O,MIGRANT,692,,,257,,0,,,,ROUND LAKE,BAIT TRAP,,,,,,,,,,,,,,,,,,CY142897,CY142896,CY142895,CY142890,CY142893,CY142892,CY142891,CY142894
A/northern pintail/Interior Alaska/9BM12068R0/2009(H8N4),9BM12068,1146-19147,,,,NOPI,Anas acuta,M,A,H,HY,HY,W,M,C,64.92091,148.84015,1216,20-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",RB46,1135,6-Aug-09,Y,O,MIGRANT,755,,,,,0,,,,ROUND LAKE,BAIT TRAP,,,,,,,,,,,,,,,,,,CY142345,CY142344,CY142343,CY142338,CY142341,CY142340,CY142339,CY142342
A/northern pintail/Interior Alaska/9BM12094R0/2009(H10N7),9BM12094,1146-19316,,,,NOPI,Anas acuta,F,A,H,HY,HY,W,M,C,64.89986,148.83792,1402,20-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",RB47,1148,8-Aug-09,Y,O,MIGRANT,699,,,249,,0,,,,BACK DOOR,BAIT TRAP,,,,,,,,,,,,,,,,,,CY142233,CY142232,CY142231,CY142226,CY142229,CY142228,CY142227,CY142230
A/northern pintail/Interior Alaska/9BM12153R0/2009(H4N8),9BM12153,1146-20070,,,,NOPI,Anas acuta,M,A,H,HY,HY,W,M,OP,64.92091,148.84015,2028,20-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",B92,2241,20-Aug-09,N,,MIGRANT,707,106,49.7,255,,0,,,,ROUND LAKE,BAIT TRAP,,,,,,,,,,,,,,,,,,CY136294,CY136293,CY136292,CY136287,CY136290,CY136289,CY136288,CY136291
A/northern pintail/Interior Alaska/9BM12176R0/2009(H3N8),9BM12176,1146-20076,,,,NOPI,Anas acuta,F,A,H,HY,HY,W,M,C,64.91926,148.80902,2050,20-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",B92,2250,20-Aug-09,N,,MIGRANT,679,97,46.8,242,,2,,,,WACKY DUCK NECK E BAIT 3,BAIT TRAP,,,,,,,,,,,,,,,,,,CY143097,CY143096,CY143095,CY143090,CY143093,CY143092,CY143091,CY143094
A/northern pintail/Interior Alaska/9BM12180R0/2009(H3N8),9BM12180,1146-20078,,,,NOPI,Anas acuta,M,A,H,HY,HY,W,M,C,64.91926,148.80902,2050,20-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",B92,2252,20-Aug-09,N,,MIGRANT,708,103.1,48.4,249,,0,,,,WACKY DUCK NECK E BAIT 3,BAIT TRAP,,,,,,,,,,,,,,,,,,CY143105,CY143104,CY143103,CY143098,CY143101,CY143100,CY143099,CY143102
A/northern pintail/Interior Alaska/9BM12186R0/2009(H4N6),9BM12186,1146-20081,,,,NOPI,Anas acuta,F,A,H,HY,HY,W,M,C,64.89986,148.83792,1226,21-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",B92,2255,21-Aug-09,N,,MIGRANT,933,101,48,249,,0,,,,BACK DOOR,BAIT TRAP,,,,,,,,,,,,,,,,,,CY143113,CY143112,CY143111,CY143106,CY143109,CY143108,CY143107,CY143110
A/northern pintail/Interior Alaska/9BM12190R0/2009(H4N6),9BM12190,1146-20083,,,,NOPI,Anas acuta,M,A,H,HY,HY,W,M,C,64.89986,148.83792,1226,21-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",B92,2257,21-Aug-09,N,,MIGRANT,850,106,48.6,263,,0,,,,BACK DOOR,BAIT TRAP,,,,,,,,,,,,,,,,,,CY143121,CY143120,CY143119,CY143114,CY143117,CY143116,CY143115,CY143118
A/mallard/Interior Alaska/9BM12198R0/2009(H4N6),9BM12198,1837-22947,,,,MALL,Anas platyrhynchos,F,A,H,AHY,AHY,W,M,C,64.89986,148.83792,1226,21-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",B93,2261,21-Aug-09,N,,MIGRANT,1065,102.7,49.1,264,,0,,,,BACK DOOR,BAIT TRAP,,,,,,,,,,,,,,,,,,CY143129,CY143128,CY143127,CY143122,CY143125,CY143124,CY143123,CY143126
A/mallard/Interior Alaska/9BM12204R0/2009(H4N6),9BM12204,1837-22950,,,,MALL,Anas platyrhynchos,F,A,H,HY,HY,W,M,C,64.89986,148.83792,1226,21-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",B93,2264,21-Aug-09,N,,MIGRANT,924,106.5,50.6,260,,0,,,,BACK DOOR,BAIT TRAP,,,,,,,,,,,,,,,,,,CY143137,CY143136,CY143135,CY143130,CY143133,CY143132,CY143131,CY143134
A/northern pintail/Interior Alaska/9BM12210R0/2009(H3N8),9BM12210,1146-20086,,,,NOPI,Anas acuta,F,A,H,HY,HY,W,M,C,64.89986,148.83792,1226,21-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",B93,2267,21-Aug-09,N,,MIGRANT,874,97.6,47.5,262,,0,,,,BACK DOOR,BAIT TRAP,,,,,,,,,,,,,,,,,,CY143145,CY143144,CY143143,CY143138,CY143141,CY143140,CY143139,CY143142
A/northern pintail/Interior Alaska/9BM12211R0/2009(H3N8),9BM12211,1146-20086,,,,NOPI,Anas acuta,F,A,H,HY,HY,W,M,OP,64.89986,148.83792,1226,21-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",B93,2267,21-Aug-09,N,,MIGRANT,874,97.6,47.5,262,,0,,,,BACK DOOR,BAIT TRAP,,,,,,,,,,,,,,,,,,CY143419,CY143418,CY143417,CY143412,CY143415,CY143414,CY143413,CY143416
A/mallard/Interior Alaska/9BM12285R0/2009(H3N8),9BM12285,,,,BD9,MALL,Anas platyrhynchos,F,K,U,HY,HY,W,M,C,64.88543,148.76081,1220,1-Sep-09,9,2009,Brandt W. Meixell,"Minto Flats, USA, AK",HS1,19,,N,,HUNTER-SHOT,1074,108.5,51.7,264,,,519,9BM20519,9BM30519,BIG MINTO SE,SHOT,,,,,1-Sep-09,0600-1100,,,,,,,,,,,,CY143153,CY143152,CY143151,CY143146,CY143149,CY143148,CY143147,CY143150
A/northern shoveler/Interior Alaska/9BM12298R0/2009(H3N8),9BM12298,,,,TP5,NSHO,Anas clypeata,M,K,U,HY,HY,W,M,C,64.88543,148.76081,1220,1-Sep-09,9,2009,Brandt W. Meixell,"Minto Flats, USA, AK",HS1,25,,N,,HUNTER-SHOT,676,115.9,43.5,246,,,525,9BM20525,9BM30525,BIG MINTO SE,SHOT,,,,,1-Sep-09,0600-1100,,,,,,,,,,,,CY143161,CY143160,CY143159,CY143154,CY143157,CY143156,CY143155,CY143158
A/northern shoveler/Interior Alaska/9BM12314R0/2009(H4N6),9BM12314,,,,TP14,NSHO,Anas clypeata,M,K,U,HY,HY,W,M,C,64.93649,148.80578,1100,2-Sep-09,9,2009,Brandt W. Meixell,"Minto Flats, USA, AK",HS2,34,,N,,HUNTER-SHOT,530,108.1,41.6,231,,,533,9BM20533,9BM30533,SAMBERRY,SHOT,,,,,2-Sep-09,0600-1046,,,,,,,,,,,,CY143169,CY143168,CY143167,CY143162,CY143165,CY143164,CY143163,CY143166
A/American green-winged teal/Interior Alaska/9BM12318R0/2009(H3N8),9BM12318,,,,TP16,AGWT,Anas crecca,M,K,U,HY,HY,W,M,C,64.93649,148.80578,1100,2-Sep-09,9,2009,Brandt W. Meixell,"Minto Flats, USA, AK",HS2,36,,N,,HUNTER-SHOT,404,81.5,36,188,,,535,9BM20535,9BM30535,SAMBERRY,SHOT,,,,,2-Sep-09,0600-1046,,,,,,,,,,,,CY143177,CY143176,CY143175,CY143170,CY143173,CY143172,CY143171,CY143174
A/mallard/Interior Alaska/9BM12326R0/2009(H3N8),9BM12326,,,,BD12,MALL,Anas platyrhynchos,F,K,U,HY,HY,W,M,C,64.93649,148.80578,1100,2-Sep-09,9,2009,Brandt W. Meixell,"Minto Flats, USA, AK",HS2,40,,N,,HUNTER-SHOT,951,105.4,51,267,,,539,9BM20539,9BM30539,SAMBERRY,SHOT,,,,,2-Sep-09,0600-1046,,,,,,,,,,,,CY143185,CY143184,CY143183,CY143178,CY143181,CY143180,CY143179,CY143182
A/northern shoveler/Interior Alaska/9BM12332R0/2009(H3N8),9BM12332,,,,BD15,NSHO,Anas clypeata,M,K,U,HY,HY,W,M,C,64.93649,148.80578,1100,2-Sep-09,9,2009,Brandt W. Meixell,"Minto Flats, USA, AK",HS2,43,,N,,HUNTER-SHOT,645,111.5,43.5,243,,,542,9BM20542,9BM30542,SAMBERRY,SHOT,,,,,2-Sep-09,0600-1046,,,,,,,,,,,,CY143193,CY143192,CY143191,CY143186,CY143189,CY143188,CY143187,CY143190
A/northern shoveler/Interior Alaska/9BM12350R0/2009(H8N4),9BM12350,,,,H3,NSHO,Anas clypeata,F,K,U,HY,HY,W,M,C,64.90542,148.85421,1300,2-Sep-09,9,2009,Brandt W. Meixell,"Minto Flats, USA, AK",HS3,52,,N,,HUNTER-SHOT,488,112.5,39.9,199,,,551,9BM20551,9BM30551,HUNTER,SHOT,,,,,2-Sep-09,AM,,,,,,,,,,,,CY141382,CY141381,CY141380,CY141375,CY141378,CY141377,CY141376,CY141379
A/American green-winged teal/Interior Alaska/9BM12356R0/2009(H3N8),9BM12356,,,,H6,AGWT,Anas crecca,M,K,U,HY,HY,W,M,C,64.90542,148.85421,1300,2-Sep-09,9,2009,Brandt W. Meixell,"Minto Flats, USA, AK",HS3,55,,N,,HUNTER-SHOT,298,77.7,33.9,172,,,553,9BM20553,9BM30553,HUNTER,SHOT,,,,,2-Sep-09,AM,,,,,,,,,,,,CY143201,CY143200,CY143199,CY143194,CY143197,CY143196,CY143195,CY143198
A/mallard/Interior Alaska/9BM12390R0/2009(H3N8),9BM12390,,,,H23,MALL,Anas platyrhynchos,F,K,U,AHY,AHY,W,M,C,64.90542,148.85421,1300,2-Sep-09,9,2009,Brandt W. Meixell,"Minto Flats, USA, AK",HS3,72,,N,,HUNTER-SHOT,1020,105.2,48.3,263,,,570,9BM20570,9BM30570,HUNTER,SHOT,,,,,2-Sep-09,AM,,,,,,,,,,,,CY143217,CY143216,CY143215,CY143210,CY143213,CY143212,CY143211,CY143214
A/northern pintail/Interior Alaska/9BM12464R0/2009(H3N8),9BM12464,,,,TP20,NOPI,Anas acuta,F,K,U,HY,HY,W,M,C,64.85993,148.82089,2200,2-Sep-09,9,2009,Brandt W. Meixell,"Minto Flats, USA, AK",HS5,109,,N,,HUNTER-SHOT,856,98.6,46.1,250,,,598,9BM20598,9BM30598,LITTLE MINTO MUD HOLE,SHOT,,,,,2-Sep-09,1900-2100,,,,,,,,,,,,CY143225,CY143224,CY143223,CY143218,CY143221,CY143220,CY143219,CY143222
